representative_exercise_id,stable_code
DVAR-010E538801DE3645,one_arm_wall_lats_isolation_bodyweight__knee_no_load_safe_v1
DVAR-015C32CEB067E809,peroneal_stretch_mobility_stretch_stretch_strap__upper_back_no_load_safe_v1
DVAR-03A7A7C6A78247A9,dumbbell_standing_curl_isolation_dumbbell__knee_no_load_safe_v1
DVAR-0423655BB84F05ED,dynamic_chest_stretch_mobility_stretch_bodyweight__lower_back_no_load_safe_v1
DVAR-06892D3AE613BF99,hip_flexion_isolation_bodyweight__upper_back_no_load_safe_v1
DVAR-0FA62ADA4EEA3182,rear_deltoid_stretch_mobility_stretch_bodyweight__knee_no_load_safe_v1
DVAR-1760C8AA64CEB384,runners_stretch_mobility_stretch_bodyweight__abdomen_no_load_safe_v1
DVAR-18D8381ECAA601CC,dynamic_chest_stretch_mobility_stretch_bodyweight__hip_no_load_safe_v1
DVAR-1A1F63F097657004,hamstring_stretch_mobility_stretch_bodyweight__wrist_hand_no_load_safe_v1
DVAR-22F9847D7E796DD5,chest_front_shoulder_stretch_mobility_stretch_bodyweight__knee_no_load_safe_v1
DVAR-249EF7CC8CED25D3,dumbbell_shrug_isolation_dumbbell__lower_back_no_load_safe_v1
DVAR-252AEEC08E26C69E,kneeling_lat_stretch_mobility_stretch_bodyweight__hip_no_load_safe_v1
DVAR-26CD8FC4C2FF3AD5,rear_deltoid_stretch_mobility_stretch_bodyweight__hip_no_load_safe_v1
DVAR-29EA6DC0FE39837B,seated_piriformis_stretch_mobility_stretch_bodyweight__wrist_hand_no_load_safe_v1
DVAR-326B588001E29897,upper_back_stretch_mobility_stretch_bodyweight__lower_back_no_load_safe_v1
DVAR-34B834AC8D12D2B5,triceps_stretch_mobility_stretch_bodyweight__knee_no_load_safe_v1
DVAR-35717F1E89B0E385,upper_back_stretch_mobility_stretch_bodyweight__hip_no_load_safe_v1
DVAR-35756A39565C0E92,dumbbell_standing_curl_isolation_dumbbell__abdomen_no_load_safe_v1
DVAR-3A73DB20F3349767,chair_leg_extended_stretch_mobility_stretch_bodyweight__neck_no_load_safe_v1
DVAR-3B2E8D5E61B19928,barbell_front_raise_isolation_barbell__hip_no_load_safe_v1
DVAR-3F9C1C0539D4277E,chest_front_shoulder_stretch_mobility_stretch_bodyweight__hip_no_load_safe_v1
