exercise_id,stable_code,family_code,representative_exercise_id,variant_type_code,safety_mapping_status_code,safety_mapping_source_representative_exercise_id,safety_rule_binding_status_code,fitt_mapping_status_code,fitt_mapping_source_representative_exercise_id,fitt_template_ids_by_experience,review_status_code,production_eligible
REX-000105,cable_lying_extension_pullover_with_rope_attachment_isolation_cable_machine,BARBELL_PULLOVER,REX-000006,PRIMARY_VARIANT,REVIEW_REQUIRED,REX-000006,PENDING_VARIANT_SAFETY_REVIEW,REVIEW_REQUIRED,REX-000006,{},REVIEW_REQUIRED,false
VEX-000001,dumbbell_deadlift_hip_dominant_dumbbell,BARBELL_DEADLIFT,REX-000004,PRIMARY_VARIANT,REVIEW_REQUIRED,REX-000004,PENDING_VARIANT_SAFETY_REVIEW,REVIEW_REQUIRED,REX-000004,{},REVIEW_REQUIRED,false
VEX-000002,dumbbell_deadlift_hip_dominant_dumbbell_nex_000186,BARBELL_DEADLIFT,REX-000004,PRIMARY_VARIANT,REVIEW_REQUIRED,REX-000004,PENDING_VARIANT_SAFETY_REVIEW,REVIEW_REQUIRED,REX-000004,{},REVIEW_REQUIRED,false
VEX-000003,kettlebell_sumo_deadlift_hip_dominant_kettlebell,BARBELL_DEADLIFT,REX-000004,PRIMARY_VARIANT,REVIEW_REQUIRED,REX-000004,PENDING_VARIANT_SAFETY_REVIEW,REVIEW_REQUIRED,REX-000004,{},REVIEW_REQUIRED,false
VEX-000004,dumbbell_front_raise_v_2_isolation_dumbbell,BARBELL_FRONT_RAISE,REX-000005,PRIMARY_VARIANT,REVIEW_REQUIRED,REX-000005,PENDING_VARIANT_SAFETY_REVIEW,REVIEW_REQUIRED,REX-000005,{},REVIEW_REQUIRED,false
VEX-000005,dumbbell_front_raise_isolation_dumbbell,BARBELL_FRONT_RAISE,REX-000005,PRIMARY_VARIANT,REVIEW_REQUIRED,REX-000005,PENDING_VARIANT_SAFETY_REVIEW,REVIEW_REQUIRED,REX-000005,{},REVIEW_REQUIRED,false
VEX-000006,dumbbell_seated_alternate_front_raise_isolation_dumbbell,BARBELL_FRONT_RAISE,REX-000005,PRIMARY_VARIANT,REVIEW_REQUIRED,REX-000005,PENDING_VARIANT_SAFETY_REVIEW,REVIEW_REQUIRED,REX-000005,{},REVIEW_REQUIRED,false
VEX-000007,band_front_raise_isolation_resistance_band,BARBELL_FRONT_RAISE,REX-000005,PRIMARY_VARIANT,REVIEW_REQUIRED,REX-000005,PENDING_VARIANT_SAFETY_REVIEW,REVIEW_REQUIRED,REX-000005,{},REVIEW_REQUIRED,false
VEX-000008,barbell_decline_wide_grip_pullover_isolation_barbell,BARBELL_PULLOVER,REX-000006,PRIMARY_VARIANT,REVIEW_REQUIRED,REX-000006,PENDING_VARIANT_SAFETY_REVIEW,REVIEW_REQUIRED,REX-000006,{},REVIEW_REQUIRED,false
VEX-000009,dumbbell_stiff_leg_deadlift_hip_dominant_dumbbell,BARBELL_STRAIGHT_LEG_DEADLIFT,REX-000007,PRIMARY_VARIANT,REVIEW_REQUIRED,REX-000007,PENDING_VARIANT_SAFETY_REVIEW,REVIEW_REQUIRED,REX-000007,{},REVIEW_REQUIRED,false
