exercise_id,stable_code,record_type,is_representative,family_code,representative_exercise_id,variant_type_code,source_key,review_status_code,variant_relation_status_code,variant_materialization_status_code,safety_mapping_status_code,fitt_mapping_status_code
REX-000001,abs_core_brace_core_brace_mat,REPRESENTATIVE,true,ABS_CORE_BRACE,REX-000001,,kspo:9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,DOMAIN_APPROVED,NOT_APPLICABLE,NOT_APPLICABLE,REPRESENTATIVE_SAFETY_CONTEXT,RETAINED_FROM_REVIEWED_CATALOG
REX-000002,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,REPRESENTATIVE,true,ALL_FOURS_SQUAT_STRETCH,REX-000002,,gymvisual:1512,DOMAIN_APPROVED,NOT_APPLICABLE,NOT_APPLICABLE,REPRESENTATIVE_SAFETY_CONTEXT,RETAINED_FROM_REVIEWED_CATALOG
REX-000003,ankle_circles_mobility_stretch_bodyweight,REPRESENTATIVE,true,ANKLE_CIRCLES,REX-000003,,gymvisual:1368,DOMAIN_APPROVED,NOT_APPLICABLE,NOT_APPLICABLE,REPRESENTATIVE_SAFETY_CONTEXT,RETAINED_FROM_REVIEWED_CATALOG
REX-000004,barbell_deadlift_hip_dominant_barbell,REPRESENTATIVE,true,BARBELL_DEADLIFT,REX-000004,,gymvisual:0032,DOMAIN_APPROVED,NOT_APPLICABLE,NOT_APPLICABLE,REPRESENTATIVE_SAFETY_CONTEXT,RETAINED_FROM_REVIEWED_CATALOG
REX-000005,barbell_front_raise_isolation_barbell,REPRESENTATIVE,true,BARBELL_FRONT_RAISE,REX-000005,,gymvisual:0041,DOMAIN_APPROVED,NOT_APPLICABLE,NOT_APPLICABLE,REPRESENTATIVE_SAFETY_CONTEXT,RETAINED_FROM_REVIEWED_CATALOG
REX-000006,barbell_pullover_isolation_barbell,REPRESENTATIVE,true,BARBELL_PULLOVER,REX-000006,,gymvisual:0073,DOMAIN_APPROVED,NOT_APPLICABLE,NOT_APPLICABLE,REPRESENTATIVE_SAFETY_CONTEXT,RETAINED_FROM_REVIEWED_CATALOG
REX-000007,barbell_straight_leg_deadlift_hip_dominant_barbell,REPRESENTATIVE,true,BARBELL_STRAIGHT_LEG_DEADLIFT,REX-000007,,gymvisual:0116,DOMAIN_APPROVED,NOT_APPLICABLE,NOT_APPLICABLE,REPRESENTATIVE_SAFETY_CONTEXT,RETAINED_FROM_REVIEWED_CATALOG
REX-000008,bodyweight_back_extension_hip_dominant_bodyweight,REPRESENTATIVE,true,BODYWEIGHT_BACK_EXTENSION,REX-000008,,gymvisual:0489,DOMAIN_APPROVED,NOT_APPLICABLE,NOT_APPLICABLE,REPRESENTATIVE_SAFETY_CONTEXT,RETAINED_FROM_REVIEWED_CATALOG
REX-000009,bodyweight_crunch_core_brace_bodyweight,REPRESENTATIVE,true,BODYWEIGHT_CRUNCH,REX-000009,,gymvisual:0274,DOMAIN_APPROVED,NOT_APPLICABLE,NOT_APPLICABLE,REPRESENTATIVE_SAFETY_CONTEXT,RETAINED_FROM_REVIEWED_CATALOG
REX-000010,bodyweight_forward_lunge_knee_dominant_bodyweight,REPRESENTATIVE,true,BODYWEIGHT_FORWARD_LUNGE,REX-000010,,gymvisual:3470,DOMAIN_APPROVED,NOT_APPLICABLE,NOT_APPLICABLE,REPRESENTATIVE_SAFETY_CONTEXT,RETAINED_FROM_REVIEWED_CATALOG
REX-000011,bodyweight_glute_bridge_hip_dominant_bodyweight,REPRESENTATIVE,true,BODYWEIGHT_GLUTE_BRIDGE,REX-000011,,gymvisual:3013,DOMAIN_APPROVED,NOT_APPLICABLE,NOT_APPLICABLE,REPRESENTATIVE_SAFETY_CONTEXT,RETAINED_FROM_REVIEWED_CATALOG
