source_exercise_stable_code,alternative_exercise_stable_code,source_representative_exercise_id,alternative_representative_exercise_id,reason_code,goal_preservation_code,difficulty_delta,source_primary_body_area_codes,source_secondary_body_area_codes,alternative_primary_body_area_codes,alternative_secondary_body_area_codes,allowed_equipment_codes,allowed_location_codes,rule_version,alternative_set_version_code,review_status_code,production_eligible,direction_code,pain_score_min,pain_score_max,service_action_code,alternative_strategy_code,source_metadata,source_relation_key
abs_core_brace_core_brace_mat,bodyweight_crunch_core_brace_bodyweight,REX-000001,REX-000009,DISCOMFORT,SAME_GOAL,0,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN""]","[""LOWER_BACK""]",BODYWEIGHT,HOME|GYM,alternative-rule-v2.0.0,alternative-set-v2.0.0,DOMAIN_APPROVED,false,A_TO_B,1,3,LOAD_REDUCED,SAME_GOAL_LOWER_LOAD_ROM_EASIER_VARIANT,"{""alternative_target_muscle_code"": ""CORE"", ""body_area_code"": ""ABDOMEN"", ""score_band_code"": ""NRS_1_3"", ""selection_basis"": ""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"", ""source_path"": ""normalized/v2_discomfort_alternative_mapping.csv"", ""source_target_muscle_code"": ""CORE""}",mapping:ABDOMEN:NRS_1_3:REX-000001:REX-000009:DISCOMFORT
abs_core_brace_core_brace_mat,bodyweight_crunch_core_brace_bodyweight,REX-000001,REX-000009,DISCOMFORT,SAME_GOAL,0,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN""]","[""LOWER_BACK""]",BODYWEIGHT,HOME|GYM,alternative-rule-v2.0.0,alternative-set-v2.0.0,DOMAIN_APPROVED,false,A_TO_B,1,3,LOAD_REDUCED,SAME_GOAL_LOWER_LOAD_ROM_EASIER_VARIANT,"{""alternative_target_muscle_code"": ""CORE"", ""body_area_code"": ""LOWER_BACK"", ""score_band_code"": ""NRS_1_3"", ""selection_basis"": ""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"", ""source_path"": ""normalized/v2_discomfort_alternative_mapping.csv"", ""source_target_muscle_code"": ""CORE""}",mapping:LOWER_BACK:NRS_1_3:REX-000001:REX-000009:DISCOMFORT
abs_core_brace_core_brace_mat,bodyweight_standing_calf_raise_isolation_bodyweight,REX-000001,REX-000016,DISCOMFORT,ACTIVE_RECOVERY,0,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ANKLE_FOOT""]","[""KNEE""]",BODYWEIGHT,HOME|GYM,alternative-rule-v2.0.0,alternative-set-v2.0.0,DOMAIN_APPROVED,false,A_TO_B,4,6,SKIP_AFFECTED_AREA,AVOID_PAIN_AREA_ACTIVE_RECOVERY,"{""alternative_target_muscle_code"": ""CALVES"", ""body_area_code"": ""ABDOMEN"", ""score_band_code"": ""NRS_4_6"", ""selection_basis"": ""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"", ""source_path"": ""normalized/v2_discomfort_alternative_mapping.csv"", ""source_target_muscle_code"": ""CORE""}",mapping:ABDOMEN:NRS_4_6:REX-000001:REX-000016:DISCOMFORT
abs_core_brace_core_brace_mat,bodyweight_standing_calf_raise_isolation_bodyweight,REX-000001,REX-000016,DISCOMFORT,ACTIVE_RECOVERY,0,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ANKLE_FOOT""]","[""KNEE""]",BODYWEIGHT,HOME|GYM,alternative-rule-v2.0.0,alternative-set-v2.0.0,DOMAIN_APPROVED,false,A_TO_B,4,6,SKIP_AFFECTED_AREA,AVOID_PAIN_AREA_ACTIVE_RECOVERY,"{""alternative_target_muscle_code"": ""CALVES"", ""body_area_code"": ""LOWER_BACK"", ""score_band_code"": ""NRS_4_6"", ""selection_basis"": ""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"", ""source_path"": ""normalized/v2_discomfort_alternative_mapping.csv"", ""source_target_muscle_code"": ""CORE""}",mapping:LOWER_BACK:NRS_4_6:REX-000001:REX-000016:DISCOMFORT
abs_core_brace_core_brace_mat,bodyweight_reverse_crunch_core_brace_bodyweight,REX-000001,REX-000013,LOCATION,CORE_STABILITY,0,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN""]","[""LOWER_BACK""]",BODYWEIGHT,HOME|GYM,alternative-rule-v2.0.0,alternative-set-v2.0.0,DOMAIN_APPROVED,false,A_TO_B,,,,,"{""legacy_relationship_type"": ""RECOVERY"", ""selection_basis"": ""REX_ENDPOINT_AND_V2_CATALOG_RECHECK"", ""source_path"": ""generated/exercise-alternatives-v0.3.0/alternative_relationships.csv""}",NEX-000177:NEX-000094:RECOVERY
all_fours_squat_stretch_mobility_stretch_bodyweight,chair_leg_extended_stretch_mobility_stretch_bodyweight,REX-000002,REX-000020,DIFFICULTY,MOBILITY_QUAD,-1,"[""KNEE"",""HIP""]","[""ANKLE_FOOT""]","[""KNEE""]","[""HIP""]",BODYWEIGHT,HOME|GYM,alternative-rule-v2.0.0,alternative-set-v2.0.0,DOMAIN_APPROVED,false,A_TO_B,,,,,"{""legacy_relationship_type"": ""INTENSITY"", ""selection_basis"": ""REX_ENDPOINT_AND_V2_CATALOG_RECHECK"", ""source_path"": ""generated/exercise-alternatives-v0.3.0/alternative_relationships.csv""}",NEX-000131:NEX-000132:INTENSITY
all_fours_squat_stretch_mobility_stretch_bodyweight,side_lying_quadriceps_stretch_mobility_stretch_bodyweight,REX-000002,REX-000088,DIFFICULTY,MOBILITY_QUAD,-1,"[""KNEE"",""HIP""]","[""ANKLE_FOOT""]","[""KNEE""]","[""HIP""]",BODYWEIGHT,HOME|GYM,alternative-rule-v2.0.0,alternative-set-v2.0.0,DOMAIN_APPROVED,false,A_TO_B,,,,,"{""legacy_relationship_type"": ""INTENSITY"", ""selection_basis"": ""REX_ENDPOINT_AND_V2_CATALOG_RECHECK"", ""source_path"": ""generated/exercise-alternatives-v0.3.0/alternative_relationships.csv""}",NEX-000131:NEX-000072:INTENSITY
all_fours_squat_stretch_mobility_stretch_bodyweight,ankle_circles_mobility_stretch_bodyweight,REX-000002,REX-000003,DISCOMFORT,SAME_GOAL,-1,"[""KNEE"",""HIP""]","[""ANKLE_FOOT""]","[""ANKLE_FOOT""]","[""KNEE""]",BODYWEIGHT,HOME|GYM,alternative-rule-v2.0.0,alternative-set-v2.0.0,DOMAIN_APPROVED,false,A_TO_B,1,3,LOAD_REDUCED,SAME_GOAL_LOWER_LOAD_ROM_EASIER_VARIANT,"{""alternative_target_muscle_code"": ""MOBILITY"", ""body_area_code"": ""ANKLE_FOOT"", ""score_band_code"": ""NRS_1_3"", ""selection_basis"": ""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"", ""source_path"": ""normalized/v2_discomfort_alternative_mapping.csv"", ""source_target_muscle_code"": ""MOBILITY""}",mapping:ANKLE_FOOT:NRS_1_3:REX-000002:REX-000003:DISCOMFORT
all_fours_squat_stretch_mobility_stretch_bodyweight,ankle_circles_mobility_stretch_bodyweight,REX-000002,REX-000003,DISCOMFORT,SAME_GOAL,-1,"[""KNEE"",""HIP""]","[""ANKLE_FOOT""]","[""ANKLE_FOOT""]","[""KNEE""]",BODYWEIGHT,HOME|GYM,alternative-rule-v2.0.0,alternative-set-v2.0.0,DOMAIN_APPROVED,false,A_TO_B,1,3,LOAD_REDUCED,SAME_GOAL_LOWER_LOAD_ROM_EASIER_VARIANT,"{""alternative_target_muscle_code"": ""MOBILITY"", ""body_area_code"": ""HIP"", ""score_band_code"": ""NRS_1_3"", ""selection_basis"": ""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"", ""source_path"": ""normalized/v2_discomfort_alternative_mapping.csv"", ""source_target_muscle_code"": ""MOBILITY""}",mapping:HIP:NRS_1_3:REX-000002:REX-000003:DISCOMFORT
all_fours_squat_stretch_mobility_stretch_bodyweight,ankle_circles_mobility_stretch_bodyweight,REX-000002,REX-000003,DISCOMFORT,SAME_GOAL,-1,"[""KNEE"",""HIP""]","[""ANKLE_FOOT""]","[""ANKLE_FOOT""]","[""KNEE""]",BODYWEIGHT,HOME|GYM,alternative-rule-v2.0.0,alternative-set-v2.0.0,DOMAIN_APPROVED,false,A_TO_B,1,3,LOAD_REDUCED,SAME_GOAL_LOWER_LOAD_ROM_EASIER_VARIANT,"{""alternative_target_muscle_code"": ""MOBILITY"", ""body_area_code"": ""KNEE"", ""score_band_code"": ""NRS_1_3"", ""selection_basis"": ""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"", ""source_path"": ""normalized/v2_discomfort_alternative_mapping.csv"", ""source_target_muscle_code"": ""MOBILITY""}",mapping:KNEE:NRS_1_3:REX-000002:REX-000003:DISCOMFORT
