representative_exercise_id,source_identity,stable_code,source_image_s3_key,source_gif_s3_key
REX-000080,0088,seated_calf_raise_isolation_barbell,images/0088-ktsFQAZ.jpg,videos/0088-ktsFQAZ.gif
REX-000081,1390,seated_calf_stretch_mobility_stretch_bodyweight,images/1390-17bqEXD.jpg,videos/1390-17bqEXD.gif
REX-000082,1424,seated_glute_stretch_mobility_stretch_bodyweight,images/1424-DeDThfG.jpg,videos/1424-DeDThfG.gif
REX-000083,0599,seated_leg_curl_knee_flexion_machine,images/0599-Zg3XY7P.jpg,videos/0599-Zg3XY7P.gif
REX-000084,0690,seated_lower_back_stretch_mobility_stretch_bodyweight,images/0690-QFmz6ch.jpg,videos/0690-QFmz6ch.gif
REX-000085,2567,seated_piriformis_stretch_mobility_stretch_bodyweight,images/2567-QY39eBr.jpg,videos/2567-QY39eBr.gif
REX-000086,0405,seated_shoulder_press_vertical_push_dumbbell,images/0405-znQUdHY.jpg,videos/0405-znQUdHY.gif
REX-000087,1587,seated_wide_angle_stretch_mobility_stretch_bodyweight,images/1587-HIgYKAB.jpg,videos/1587-HIgYKAB.gif
REX-000088,0613,side_lying_quadriceps_stretch_mobility_stretch_bodyweight,images/0613-BWnJR72.jpg,videos/0613-BWnJR72.gif
REX-000089,0721,side_wrist_pull_stretch_mobility_stretch_bodyweight,images/0721-UtmIqcI.jpg,videos/0721-UtmIqcI.gif
REX-000091,1363,spine_stretch_mobility_stretch_bodyweight,images/1363-JbC2iaV.jpg,videos/1363-JbC2iaV.gif
REX-000092,2329,spine_twist_mobility_stretch_bodyweight,images/2329-2jl9K55.jpg,videos/2329-2jl9K55.gif
REX-000094,1599,standing_hamstring_calf_strap_stretch_mobility_stretch_stretch_strap,images/1599-xTjr103.jpg,videos/1599-xTjr103.gif
REX-000095,0794,standing_lateral_stretch_mobility_stretch_bodyweight,images/0794-1jXLYEw.jpg,videos/0794-1jXLYEw.gif
REX-000096,0817,triceps_stretch_mobility_stretch_bodyweight,images/0817-uOV3Itw.jpg,videos/0817-uOV3Itw.gif
REX-000098,1365,upper_back_stretch_mobility_stretch_bodyweight,images/1365-GSDioYu.jpg,videos/1365-GSDioYu.gif
REX-000099,1377,wall_calf_stretch_mobility_stretch_bodyweight,images/1377-m0tCHqc.jpg,videos/1377-m0tCHqc.gif
REX-000100,1604,world_greatest_stretch_mobility_stretch_bodyweight,images/1604-DFGXwZr.jpg,videos/1604-DFGXwZr.gif
REX-000101,1428,wrist_circles_mobility_stretch_bodyweight,images/1428-2zNKRUB.jpg,videos/1428-2zNKRUB.gif
REX-000102,0126,wrist_curl_isolation_barbell,images/0126-82LxxkW.jpg,videos/0126-82LxxkW.gif
REX-000109,0335,dumbbell_lateral_to_front_raise_isolation_dumbbell,images/0335-xMjBKwn.jpg,videos/0335-xMjBKwn.gif
REX-000119,0763,smith_reverse_calf_raises_isolation_machine,images/0763-ywaNfuh.jpg,videos/0763-ywaNfuh.gif
REX-000124,1369,band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band,images/1369-jl6uxZV.jpg,videos/1369-jl6uxZV.gif
REX-000125,1386,one_leg_donkey_calf_raise_isolation_bodyweight,images/1386-A2upspL.jpg,videos/1386-A2upspL.gif
