representative_exercise_id,source_identity,stable_code,source_image_s3_key,source_gif_s3_key
REX-000002,1512,all_fours_squat_stretch_mobility_stretch_bodyweight,images/1512-qBcKorM.jpg,videos/1512-qBcKorM.gif
REX-000003,1368,ankle_circles_mobility_stretch_bodyweight,images/1368-uL9CsKm.jpg,videos/1368-uL9CsKm.gif
REX-000004,0032,barbell_deadlift_hip_dominant_barbell,images/0032-ila4NZS.jpg,videos/0032-ila4NZS.gif
REX-000005,0041,barbell_front_raise_isolation_barbell,images/0041-b2Uoz54.jpg,videos/0041-b2Uoz54.gif
REX-000006,0073,barbell_pullover_isolation_barbell,images/0073-i6LWjok.jpg,videos/0073-i6LWjok.gif
REX-000007,0116,barbell_straight_leg_deadlift_hip_dominant_barbell,images/0116-hrVQWvE.jpg,videos/0116-hrVQWvE.gif
REX-000008,0489,bodyweight_back_extension_hip_dominant_bodyweight,images/0489-zhMwOwE.jpg,videos/0489-zhMwOwE.gif
REX-000009,0274,bodyweight_crunch_core_brace_bodyweight,images/0274-TFqbd8t.jpg,videos/0274-TFqbd8t.gif
REX-000010,3470,bodyweight_forward_lunge_knee_dominant_bodyweight,images/3470-kMzUs9Y.jpg,videos/3470-kMzUs9Y.gif
REX-000011,3013,bodyweight_glute_bridge_hip_dominant_bodyweight,images/3013-u0cNiij.jpg,videos/3013-u0cNiij.gif
REX-000012,0140,bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar,images/0140-guT8YnS.jpg,videos/0140-guT8YnS.gif
REX-000013,0872,bodyweight_reverse_crunch_core_brace_bodyweight,images/0872-nCU1Ekp.jpg,videos/0872-nCU1Ekp.gif
REX-000014,0687,bodyweight_russian_twist_core_brace_bodyweight,images/0687-XVDdcoj.jpg,videos/0687-XVDdcoj.gif
REX-000015,2368,bodyweight_split_squat_knee_dominant_bodyweight,images/2368-9E25EOx.jpg,videos/2368-9E25EOx.gif
REX-000016,1373,bodyweight_standing_calf_raise_isolation_bodyweight,images/1373-bJYHBIN.jpg,videos/1373-bJYHBIN.gif
REX-000017,1494,butterfly_adductor_stretch_mobility_stretch_bodyweight,images/1494-bWlZvXh.jpg,videos/1494-bWlZvXh.gif
REX-000018,0227,cable_fly_isolation_cable_machine,images/0227-Pr9Rhf4.jpg,videos/0227-Pr9Rhf4.gif
REX-000019,0201,cable_triceps_pushdown_isolation_cable_machine,images/0201-3ZflifB.jpg,videos/0201-3ZflifB.gif
REX-000020,1548,chair_leg_extended_stretch_mobility_stretch_bodyweight,images/1548-xGgAGPm.jpg,videos/1548-xGgAGPm.gif
REX-000021,1271,chest_front_shoulder_stretch_mobility_stretch_bodyweight,images/1271-Uto7l43.jpg,videos/1271-Uto7l43.gif
REX-000022,0259,close_grip_push_up_horizontal_push_bodyweight,images/0259-x6KpKpq.jpg,videos/0259-x6KpKpq.gif
REX-000023,0691,crunch_variant_core_brace_bodyweight,images/0691-Y9hNPcN.jpg,videos/0691-Y9hNPcN.gif
REX-000024,0276,dead_bug_core_brace_bodyweight,images/0276-iny3m5y.jpg,videos/0276-iny3m5y.gif
REX-000025,1760,dumbbell_goblet_squat_knee_dominant_dumbbell,images/1760-yn8yg1r.jpg,videos/1760-yn8yg1r.gif
REX-000026,0334,dumbbell_lateral_raise_isolation_dumbbell,images/0334-DsgkuIt.jpg,videos/0334-DsgkuIt.gif
REX-000027,0372,dumbbell_preacher_curl_isolation_dumbbell,images/0372-jivWf8n.jpg,videos/0372-jivWf8n.gif
REX-000028,0378,dumbbell_rear_fly_isolation_dumbbell,images/0378-8DiFDVA.jpg,videos/0378-8DiFDVA.gif
REX-000029,0406,dumbbell_shrug_isolation_dumbbell,images/0406-NJzBsGJ.jpg,videos/0406-NJzBsGJ.gif
REX-000030,0416,dumbbell_standing_curl_isolation_dumbbell,images/0416-3s4NnTh.jpg,videos/0416-3s4NnTh.gif
REX-000031,2796,dumbbell_step_up_lunge_knee_dominant_dumbbell_step_box,images/2796-gFyFj9z.jpg,videos/2796-gFyFj9z.gif
REX-000032,1167,dynamic_chest_stretch_mobility_stretch_bodyweight,images/1167-3uj0Ozg.jpg,videos/1167-3uj0Ozg.gif
REX-000033,1559,exercise_ball_hip_flexor_stretch_mobility_stretch_stability_ball,images/1559-2LQkNPW.jpg,videos/1559-2LQkNPW.gif
REX-000034,1511,hamstring_stretch_mobility_stretch_bodyweight,images/1511-99rWm7w.jpg,videos/1511-99rWm7w.gif
REX-000035,0854,hand_grip_squeeze_isolation_household_weight,images/0854-bjqbauy.jpg,videos/0854-bjqbauy.gif
REX-000036,1564,hip_flexor_quadriceps_stretch_mobility_stretch_stretch_strap,images/1564-tFGKm99.jpg,videos/1564-tFGKm99.gif
REX-000037,3541,incline_y_raise_isolation_dumbbell,images/3541-PbzNu7c.jpg,videos/3541-PbzNu7c.gif
REX-000038,0499,inverted_row_horizontal_pull_bodyweight,images/0499-bZGHsAZ.jpg,videos/0499-bZGHsAZ.gif
REX-000039,1346,kneeling_lat_stretch_mobility_stretch_bodyweight,images/1346-f38OEuO.jpg,videos/1346-f38OEuO.gif
REX-000040,0198,lat_pulldown_vertical_pull_cable_machine,images/0198-RVwzP10.jpg,videos/0198-RVwzP10.gif
REX-000042,1576,leg_up_hamstring_stretch_mobility_stretch_bodyweight,images/1576-sU5BrfP.jpg,videos/1576-sU5BrfP.gif
REX-000043,1352,lower_back_curl_core_brace_bodyweight,images/1352-ANbbry2.jpg,videos/1352-ANbbry2.gif
REX-000044,0585,machine_leg_extension_isolation_machine,images/0585-my33uHU.jpg,videos/0585-my33uHU.gif
REX-000045,1403,neck_lateral_stretch_mobility_stretch_bodyweight,images/1403-x2chWLO.jpg,videos/1403-x2chWLO.gif
REX-000046,1355,one_arm_wall_lats_isolation_bodyweight,images/1355-ZZTGMKh.jpg,videos/1355-ZZTGMKh.gif
REX-000047,0109,overhead_triceps_extension_isolation_barbell,images/0109-dZl9Q27.jpg,videos/0109-dZl9Q27.gif
REX-000048,0643,overhead_triceps_stretch_mobility_stretch_bodyweight,images/0643-Z5YStHW.jpg,videos/0643-Z5YStHW.gif
REX-000050,1388,peroneal_stretch_mobility_stretch_stretch_strap,images/1388-XhfS1DZ.jpg,videos/1388-XhfS1DZ.gif
REX-000051,0464,plank_rotation_core_brace_bodyweight,images/0464-CosupLu.jpg,videos/0464-CosupLu.gif
REX-000052,0662,push_up_horizontal_push_bodyweight,images/0662-I4hDWkc.jpg,videos/0662-I4hDWkc.gif
REX-000053,0669,rear_deltoid_stretch_mobility_stretch_bodyweight,images/0669-xifhB5W.jpg,videos/0669-xifhB5W.gif
REX-000054,1000,reverse_calf_raise_isolation_resistance_band,images/1000-QsSQWbf.jpg,videos/1000-QsSQWbf.gif
REX-000055,0082,reverse_wrist_curl_isolation_barbell,images/0082-LsZkfU6.jpg,videos/0082-LsZkfU6.gif
REX-000056,3672,cardio_gait_bodyweight,images/3672-fNGumX0.jpg,videos/3672-fNGumX0.gif
REX-000058,3636,cardio_gait_bodyweight_rex_000058,images/3636-ealLwvX.jpg,videos/3636-ealLwvX.gif
REX-000059,3224,cardio_jump_plyometric_bodyweight,images/3224-1g5bPpA.jpg,videos/3224-1g5bPpA.gif
REX-000060,2612,cardio_jump_plyometric_jump_rope,images/2612-e1e76I2.jpg,videos/2612-e1e76I2.gif
REX-000062,0685,cardio_gait_bodyweight_rex_000062,images/0685-oLrKqDH.jpg,videos/0685-oLrKqDH.gif
REX-000065,3656,cardio_gait_bodyweight_rex_000065,images/3656-CcWEoWV.jpg,videos/3656-CcWEoWV.gif
REX-000067,2138,cardio_cycling_stationary_bike,images/2138-H1PESYI.jpg,videos/2138-H1PESYI.gif
REX-000070,3666,cardio_gait_machine,images/3666-rjiM4L3.jpg,videos/3666-rjiM4L3.gif
REX-000071,2311,cardio_gait_machine_rex_000071,images/2311-j9Q5crt.jpg,videos/2311-j9Q5crt.gif
REX-000072,2141,cardio_elliptical_elliptical_machine,images/2141-rjtuP6X.jpg,videos/2141-rjtuP6X.gif
REX-000073,2208,roller_back_stretch_mobility_stretch_foam_roller,images/2208-isofgzg.jpg,videos/2208-isofgzg.gif
REX-000074,2202,roller_hip_stretch_mobility_stretch_foam_roller,images/2202-oMypNrz.jpg,videos/2202-oMypNrz.gif
REX-000077,1585,runners_stretch_mobility_stretch_bodyweight,images/1585-0mB6wHO.jpg,videos/1585-0mB6wHO.gif
REX-000078,0688,scapular_pull_up_vertical_pull_bodyweight_pull_up_bar,images/0688-uTBt1HV.jpg,videos/0688-uTBt1HV.gif
REX-000079,0861,seated_cable_row_horizontal_pull_cable_machine,images/0861-fUBheHs.jpg,videos/0861-fUBheHs.gif
