evaluation_id,segment_name,segment_value,n_samples,precision,recall,f1,roc_auc,pr_auc,brier,tn,fp,fn,tp,calibration_curve,unavailable_metrics
final_time_A3_histgb_test,history_bucket,29+,5382,0.6978237602568677,0.6703221384509939,0.6837965390665968,0.7262033877277623,0.7661221980724948,0.20905067284594625,1617,847,962,1956,"{""n_bins"":10,""probability_predicted"":[0.19465307518839836,0.2653020173631689,0.3481003267295433,0.4491940667778536,0.5383690439632961,0.6563099211235659,0.759972673034508,0.8364426476010204,0.9345966257832267],""probability_true"":[0.0,0.28817204301075267,0.3380681818181818,0.4468690702087287,0.5234285714285715,0.6399082568807339,0.7701342281879194,0.8136094674556213,0.9545454545454546]}",{}
final_time_A3_histgb_test,experience_level_code,INTERMEDIATE,1914,0.551440329218107,0.3160377358490566,0.4017991004497751,0.607303577117774,0.5293215663660242,0.23854083228166623,848,218,580,268,"{""n_bins"":10,""probability_predicted"":[0.28510915987439206,0.3474618995018553,0.453842264751096,0.5293080007829586,0.6137344121932984],""probability_true"":[0.2967032967032967,0.3229665071770335,0.4548422198041349,0.5483193277310925,0.7]}",{}
final_time_A3_histgb_test,experience_level_code,BEGINNER,1145,0.0,0.0,0.0,0.5665520780947526,0.3853041306103992,0.2185843150362479,766,0,379,0,"{""n_bins"":10,""probability_predicted"":[0.19465307518839836,0.2604826324205985,0.34851860663733886,0.41434913735057033],""probability_true"":[0.0,0.28609625668449196,0.34796238244514105,0.3875968992248062]}",{}
final_time_A3_histgb_test,experience_level_code,ADVANCED,2323,0.7285282693137678,0.9982259018332348,0.8423153692614771,0.6900759980237894,0.8527810018633218,0.18005360635095544,3,629,3,1688,"{""n_bins"":10,""probability_predicted"":[0.48641105989615124,0.5491787095117688,0.6573093462158257,0.759972673034508,0.8364426476010204,0.9345966257832267],""probability_true"":[0.5,0.49373433583959897,0.6384976525821596,0.7701342281879194,0.8136094674556213,0.9545454545454546]}",{}
