representative_exercise_id,exercise_id,stable_code,catalog_version_code,source_origin_code,source_track,source_identity,source_identity_validation,record_source_identity,media_source_origin_code,media_source_match_method,s3_key,media_status,media_state_code,media_state_reason_code,s3_technical_status,verified_at,rights_review_status,rights_reviewer,rights_reviewed_at,rights_evidence_reference,production_eligibility,backend_visibility,source_image_s3_key,source_gif_s3_key,source_gif_content_type,source_gif_content_length,source_gif_etag,source_gif_checksum_algorithm,source_gif_checksum,source_image_content_type,source_image_content_length,source_image_etag,source_image_checksum_algorithm,source_image_checksum,gif_content_type,gif_content_length,gif_etag,gif_checksum_algorithm,gif_checksum,thumbnail_content_type,thumbnail_content_length,thumbnail_etag,thumbnail_checksum_algorithm,thumbnail_checksum
DVAR-010E538801DE3645,DVAR-010E538801DE3645,one_arm_wall_lats_isolation_bodyweight__knee_no_load_safe_v1,exercise-catalog-v2.0.2-final,PAIN_ALTERNATIVE_POLICY,pain_alternative_policy,1355,VALID_NUMERIC,DVAR-010E538801DE3645,GYMVISUAL,ALTERNATIVE_BASE_EXERCISE_MATCH,,UNAVAILABLE,UNAVAILABLE,NO_RECORD_SPECIFIC_MEDIA_MAPPING_REVIEWED,NOT_REQUESTED,,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,EXTERNAL_EXPERT_SOURCE_APPROVAL; OWNER_VISUAL_REVIEW; NO_RECORD_SPECIFIC_MEDIA_MAPPING,true,HIDDEN,images/1355-ZZTGMKh.jpg,videos/1355-ZZTGMKh.gif,,,,,,,,,,,,,,,,,,,,
DVAR-015C32CEB067E809,DVAR-015C32CEB067E809,peroneal_stretch_mobility_stretch_stretch_strap__upper_back_no_load_safe_v1,exercise-catalog-v2.0.2-final,PAIN_ALTERNATIVE_POLICY,pain_alternative_policy,1388,VALID_NUMERIC,DVAR-015C32CEB067E809,GYMVISUAL,EXACT_NAME_MATCH,,UNAVAILABLE,UNAVAILABLE,NO_RECORD_SPECIFIC_MEDIA_MAPPING_REVIEWED,NOT_REQUESTED,,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,EXTERNAL_EXPERT_SOURCE_APPROVAL; OWNER_VISUAL_REVIEW; NO_RECORD_SPECIFIC_MEDIA_MAPPING,true,HIDDEN,images/1388-XhfS1DZ.jpg,videos/1388-XhfS1DZ.gif,,,,,,,,,,,,,,,,,,,,
DVAR-03A7A7C6A78247A9,DVAR-03A7A7C6A78247A9,dumbbell_standing_curl_isolation_dumbbell__knee_no_load_safe_v1,exercise-catalog-v2.0.2-final,PAIN_ALTERNATIVE_POLICY,pain_alternative_policy,0416,VALID_NUMERIC,DVAR-03A7A7C6A78247A9,GYMVISUAL,EXACT_NAME_MATCH,,UNAVAILABLE,UNAVAILABLE,NO_RECORD_SPECIFIC_MEDIA_MAPPING_REVIEWED,NOT_REQUESTED,,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,EXTERNAL_EXPERT_SOURCE_APPROVAL; OWNER_VISUAL_REVIEW; NO_RECORD_SPECIFIC_MEDIA_MAPPING,true,HIDDEN,images/0416-3s4NnTh.jpg,videos/0416-3s4NnTh.gif,,,,,,,,,,,,,,,,,,,,
DVAR-0423655BB84F05ED,DVAR-0423655BB84F05ED,dynamic_chest_stretch_mobility_stretch_bodyweight__lower_back_no_load_safe_v1,exercise-catalog-v2.0.2-final,PAIN_ALTERNATIVE_POLICY,pain_alternative_policy,1167,VALID_NUMERIC,DVAR-0423655BB84F05ED,GYMVISUAL,EXACT_NAME_MATCH,,UNAVAILABLE,UNAVAILABLE,NO_RECORD_SPECIFIC_MEDIA_MAPPING_REVIEWED,NOT_REQUESTED,,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,EXTERNAL_EXPERT_SOURCE_APPROVAL; OWNER_VISUAL_REVIEW; NO_RECORD_SPECIFIC_MEDIA_MAPPING,true,HIDDEN,images/1167-3uj0Ozg.jpg,videos/1167-3uj0Ozg.gif,,,,,,,,,,,,,,,,,,,,
DVAR-06892D3AE613BF99,DVAR-06892D3AE613BF99,hip_flexion_isolation_bodyweight__upper_back_no_load_safe_v1,exercise-catalog-v2.0.2-final,PAIN_ALTERNATIVE_POLICY,pain_alternative_policy,46ea8fdbe34474fac354a051f63b114e0a6d20a21f71226ae0db5da216d14861,VALID_NON_NUMERIC,DVAR-06892D3AE613BF99,KSPO,ALTERNATIVE_BASE_EXERCISE_MATCH,,UNAVAILABLE,UNAVAILABLE,NO_RECORD_SPECIFIC_MEDIA_MAPPING_REVIEWED,NOT_REQUESTED,,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,EXTERNAL_EXPERT_SOURCE_APPROVAL; OWNER_VISUAL_REVIEW; NO_RECORD_SPECIFIC_MEDIA_MAPPING,true,HIDDEN,,,,,,,,,,,,,,,,,,,,,,
DVAR-0FA62ADA4EEA3182,DVAR-0FA62ADA4EEA3182,rear_deltoid_stretch_mobility_stretch_bodyweight__knee_no_load_safe_v1,exercise-catalog-v2.0.2-final,PAIN_ALTERNATIVE_POLICY,pain_alternative_policy,0669,VALID_NUMERIC,DVAR-0FA62ADA4EEA3182,GYMVISUAL,EXACT_NAME_MATCH,,UNAVAILABLE,UNAVAILABLE,NO_RECORD_SPECIFIC_MEDIA_MAPPING_REVIEWED,NOT_REQUESTED,,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,EXTERNAL_EXPERT_SOURCE_APPROVAL; OWNER_VISUAL_REVIEW; NO_RECORD_SPECIFIC_MEDIA_MAPPING,true,HIDDEN,images/0669-xifhB5W.jpg,videos/0669-xifhB5W.gif,,,,,,,,,,,,,,,,,,,,
DVAR-1760C8AA64CEB384,DVAR-1760C8AA64CEB384,runners_stretch_mobility_stretch_bodyweight__abdomen_no_load_safe_v1,exercise-catalog-v2.0.2-final,PAIN_ALTERNATIVE_POLICY,pain_alternative_policy,1585,VALID_NUMERIC,DVAR-1760C8AA64CEB384,GYMVISUAL,EXACT_NAME_MATCH,,UNAVAILABLE,UNAVAILABLE,NO_RECORD_SPECIFIC_MEDIA_MAPPING_REVIEWED,NOT_REQUESTED,,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,EXTERNAL_EXPERT_SOURCE_APPROVAL; OWNER_VISUAL_REVIEW; NO_RECORD_SPECIFIC_MEDIA_MAPPING,true,HIDDEN,images/1585-0mB6wHO.jpg,videos/1585-0mB6wHO.gif,,,,,,,,,,,,,,,,,,,,
DVAR-18D8381ECAA601CC,DVAR-18D8381ECAA601CC,dynamic_chest_stretch_mobility_stretch_bodyweight__hip_no_load_safe_v1,exercise-catalog-v2.0.2-final,PAIN_ALTERNATIVE_POLICY,pain_alternative_policy,1167,VALID_NUMERIC,DVAR-18D8381ECAA601CC,GYMVISUAL,EXACT_NAME_MATCH,,UNAVAILABLE,UNAVAILABLE,NO_RECORD_SPECIFIC_MEDIA_MAPPING_REVIEWED,NOT_REQUESTED,,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,EXTERNAL_EXPERT_SOURCE_APPROVAL; OWNER_VISUAL_REVIEW; NO_RECORD_SPECIFIC_MEDIA_MAPPING,true,HIDDEN,images/1167-3uj0Ozg.jpg,videos/1167-3uj0Ozg.gif,,,,,,,,,,,,,,,,,,,,
DVAR-1A1F63F097657004,DVAR-1A1F63F097657004,hamstring_stretch_mobility_stretch_bodyweight__wrist_hand_no_load_safe_v1,exercise-catalog-v2.0.2-final,PAIN_ALTERNATIVE_POLICY,pain_alternative_policy,1511,VALID_NUMERIC,DVAR-1A1F63F097657004,GYMVISUAL,EXACT_NAME_MATCH,,UNAVAILABLE,UNAVAILABLE,NO_RECORD_SPECIFIC_MEDIA_MAPPING_REVIEWED,NOT_REQUESTED,,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,EXTERNAL_EXPERT_SOURCE_APPROVAL; OWNER_VISUAL_REVIEW; NO_RECORD_SPECIFIC_MEDIA_MAPPING,true,HIDDEN,images/1511-99rWm7w.jpg,videos/1511-99rWm7w.gif,,,,,,,,,,,,,,,,,,,,
DVAR-22F9847D7E796DD5,DVAR-22F9847D7E796DD5,chest_front_shoulder_stretch_mobility_stretch_bodyweight__knee_no_load_safe_v1,exercise-catalog-v2.0.2-final,PAIN_ALTERNATIVE_POLICY,pain_alternative_policy,1271,VALID_NUMERIC,DVAR-22F9847D7E796DD5,GYMVISUAL,EXACT_NAME_MATCH,,UNAVAILABLE,UNAVAILABLE,NO_RECORD_SPECIFIC_MEDIA_MAPPING_REVIEWED,NOT_REQUESTED,,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,EXTERNAL_EXPERT_SOURCE_APPROVAL; OWNER_VISUAL_REVIEW; NO_RECORD_SPECIFIC_MEDIA_MAPPING,true,HIDDEN,images/1271-Uto7l43.jpg,videos/1271-Uto7l43.gif,,,,,,,,,,,,,,,,,,,,
