exercise_id,movement_pattern,body_focus,difficulty,rule_id,action,alternative_required,source_rule_id
NEX-000001,HINGE,GLUTES,INTERMEDIATE,SRV2-NEW-0023,EXCLUDE,YES,LEGACY-RULE-0004|LEGACY-RULE-0006|LEGACY-RULE-0029|LEGACY-RULE-0075|LEGACY-RULE-0108|LEGACY-RULE-0144|LEGACY-RULE-0261
NEX-000001,HINGE,GLUTES,INTERMEDIATE,SRV2-NEW-0025,CAUTION,NO,LEGACY-RULE-0069|LEGACY-RULE-0094|LEGACY-RULE-0116|LEGACY-RULE-0134|LEGACY-RULE-0150|LEGACY-RULE-0170|LEGACY-RULE-0177|LEGACY-RULE-0198|LEGACY-RULE-0216|LEGACY-RULE-0230|LEGACY-RULE-0252|LEGACY-RULE-0266|LEGACY-RULE-0275
NEX-000001,HINGE,GLUTES,INTERMEDIATE,SRV2-NEW-0027,EXCLUDE,YES,LEGACY-RULE-0070|LEGACY-RULE-0095|LEGACY-RULE-0117|LEGACY-RULE-0135|LEGACY-RULE-0151|LEGACY-RULE-0171|LEGACY-RULE-0178|LEGACY-RULE-0199|LEGACY-RULE-0217|LEGACY-RULE-0231|LEGACY-RULE-0253|LEGACY-RULE-0267|LEGACY-RULE-0276
NEX-000001,HINGE,GLUTES,INTERMEDIATE,SRV2-NEW-0028,CAUTION,NO,LEGACY-RULE-0037|LEGACY-RULE-0044|LEGACY-RULE-0066|LEGACY-RULE-0076|LEGACY-RULE-0091|LEGACY-RULE-0111|LEGACY-RULE-0142|LEGACY-RULE-0145|LEGACY-RULE-0155|LEGACY-RULE-0157|LEGACY-RULE-0160|LEGACY-RULE-0164|LEGACY-RULE-0185|LEGACY-RULE-0250|LEGACY-RULE-0264|LEGACY-RULE-0270|LEGACY-RULE-0272
NEX-000001,HINGE,GLUTES,INTERMEDIATE,SRV2-NEW-0030,EXCLUDE,YES,LEGACY-RULE-0038|LEGACY-RULE-0045|LEGACY-RULE-0067|LEGACY-RULE-0077|LEGACY-RULE-0092|LEGACY-RULE-0112|LEGACY-RULE-0143|LEGACY-RULE-0146|LEGACY-RULE-0156|LEGACY-RULE-0158|LEGACY-RULE-0161|LEGACY-RULE-0165|LEGACY-RULE-0186|LEGACY-RULE-0251|LEGACY-RULE-0265|LEGACY-RULE-0271|LEGACY-RULE-0273
NEX-000002,PULL,BACK,INTERMEDIATE,SRV2-NEW-0069,CAUTION,NO,LEGACY-RULE-0125
NEX-000002,PULL,BACK,INTERMEDIATE,SRV2-NEW-0070,EXCLUDE,YES,LEGACY-RULE-0126
NEX-000002,PULL,BACK,INTERMEDIATE,SRV2-NEW-0071,CAUTION,NO,LEGACY-RULE-0009|LEGACY-RULE-0013|LEGACY-RULE-0018|LEGACY-RULE-0021|LEGACY-RULE-0053|LEGACY-RULE-0058
NEX-000002,PULL,BACK,INTERMEDIATE,SRV2-NEW-0073,EXCLUDE,YES,LEGACY-RULE-0010|LEGACY-RULE-0014|LEGACY-RULE-0019|LEGACY-RULE-0022|LEGACY-RULE-0054|LEGACY-RULE-0059
NEX-000002,PULL,BACK,INTERMEDIATE,SRV2-NEW-0078,EXCLUDE,YES,LEGACY-RULE-0008|LEGACY-RULE-0115|LEGACY-RULE-0154|LEGACY-RULE-0191|LEGACY-RULE-0208
