candidate_exercise_id,default_exercise_id,priority_rank,fallback_candidate,record_type,variant_type_code,name_ko,stable_code,equipment_codes,location_codes,difficulty_code,review_status_code,production_eligible,catalog_version_code,family_code,representative_exercise_id,context_code
REX-000001,REX-000001,1,false,REPRESENTATIVE,,누워서 복부 수축하기,abs_core_brace_core_brace_mat,"[""MAT""]","[""HOME"",""GYM""]",BEGINNER,DOMAIN_APPROVED,false,exercise-catalog-v2.0.2-final,ABS_CORE_BRACE,REX-000001,GYM
REX-000001,REX-000001,1,false,REPRESENTATIVE,,누워서 복부 수축하기,abs_core_brace_core_brace_mat,"[""MAT""]","[""HOME"",""GYM""]",BEGINNER,DOMAIN_APPROVED,false,exercise-catalog-v2.0.2-final,ABS_CORE_BRACE,REX-000001,HOME
REX-000002,REX-000002,1,false,REPRESENTATIVE,,네발기기 대퇴사두근 스트레칭,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,"[""BODYWEIGHT""]","[""HOME"",""GYM""]",INTERMEDIATE,DOMAIN_APPROVED,false,exercise-catalog-v2.0.2-final,ALL_FOURS_SQUAT_STRETCH,REX-000002,GYM
REX-000002,REX-000002,1,false,REPRESENTATIVE,,네발기기 대퇴사두근 스트레칭,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,"[""BODYWEIGHT""]","[""HOME"",""GYM""]",INTERMEDIATE,DOMAIN_APPROVED,false,exercise-catalog-v2.0.2-final,ALL_FOURS_SQUAT_STRETCH,REX-000002,HOME
REX-000003,REX-000003,1,false,REPRESENTATIVE,,발목 돌리기,ankle_circles_mobility_stretch_bodyweight,"[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,DOMAIN_APPROVED,false,exercise-catalog-v2.0.2-final,ANKLE_CIRCLES,REX-000003,GYM
REX-000003,REX-000003,1,false,REPRESENTATIVE,,발목 돌리기,ankle_circles_mobility_stretch_bodyweight,"[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,DOMAIN_APPROVED,false,exercise-catalog-v2.0.2-final,ANKLE_CIRCLES,REX-000003,HOME
REX-000004,REX-000004,1,false,REPRESENTATIVE,,데드리프트,barbell_deadlift_hip_dominant_barbell,"[""BARBELL""]","[""GYM""]",INTERMEDIATE,DOMAIN_APPROVED,false,exercise-catalog-v2.0.2-final,BARBELL_DEADLIFT,REX-000004,GYM
VEX-000003,REX-000004,2,true,VARIANT,PRIMARY_VARIANT,케틀벨 스모 데드리프트,kettlebell_sumo_deadlift_hip_dominant_kettlebell,"[""KETTLEBELL""]","[""GYM""]",BEGINNER,REVIEW_REQUIRED,false,exercise-catalog-v2.0.2-final,BARBELL_DEADLIFT,REX-000004,GYM
VEX-000001,REX-000004,3,true,VARIANT,PRIMARY_VARIANT,덤벨 데드리프트,dumbbell_deadlift_hip_dominant_dumbbell,"[""DUMBBELL""]","[""HOME"",""GYM""]",INTERMEDIATE,REVIEW_REQUIRED,false,exercise-catalog-v2.0.2-final,BARBELL_DEADLIFT,REX-000004,GYM
VEX-000002,REX-000004,4,true,VARIANT,PRIMARY_VARIANT,덤벨 데드리프트,dumbbell_deadlift_hip_dominant_dumbbell_nex_000186,"[""DUMBBELL""]","[""GYM""]",INTERMEDIATE,REVIEW_REQUIRED,false,exercise-catalog-v2.0.2-final,BARBELL_DEADLIFT,REX-000004,GYM
VEX-000001,VEX-000001,1,false,VARIANT,PRIMARY_VARIANT,덤벨 데드리프트,dumbbell_deadlift_hip_dominant_dumbbell,"[""DUMBBELL""]","[""HOME"",""GYM""]",INTERMEDIATE,REVIEW_REQUIRED,false,exercise-catalog-v2.0.2-final,BARBELL_DEADLIFT,REX-000004,HOME
REX-000005,REX-000005,1,false,REPRESENTATIVE,,프론트 레이즈,barbell_front_raise_isolation_barbell,"[""BARBELL""]","[""GYM""]",BEGINNER,DOMAIN_APPROVED,false,exercise-catalog-v2.0.2-final,BARBELL_FRONT_RAISE,REX-000005,GYM
VEX-000004,REX-000005,2,true,VARIANT,PRIMARY_VARIANT,덤벨 프론트 레이즈,dumbbell_front_raise_v_2_isolation_dumbbell,"[""DUMBBELL""]","[""HOME"",""GYM""]",BEGINNER,REVIEW_REQUIRED,false,exercise-catalog-v2.0.2-final,BARBELL_FRONT_RAISE,REX-000005,GYM
