catalog_version_code,family_code,representative_exercise_id,representative_exercise_ids,context_code,context_coverage_status_code,representative_context_eligible,raw_context_candidate_count,context_candidate_count,primary_variant_context_candidate_count,secondary_variant_context_candidate_count,default_exercise_id,default_priority_rank,default_record_type,default_variant_type_code,default_name_ko,default_equipment_codes,fallback_candidate_ids,goal_codes,goal_coverage_status_code,training_type_codes,movement_pattern_codes,primary_body_area_codes,difficulty_codes,phase_codes,review_status_code,review_reason_codes,production_eligible
exercise-catalog-v2.0.2-final,ABS_CORE_BRACE,REX-000001,"[""REX-000001""]",GYM,COVERED_DRAFT,true,1,1,0,0,REX-000001,1,REPRESENTATIVE,,누워서 복부 수축하기,"[""MAT""]",[],"[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""CORE_BRACE""]","[""ABDOMEN""]","[""BEGINNER""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,ABS_CORE_BRACE,REX-000001,"[""REX-000001""]",HOME,COVERED_DRAFT,true,1,1,0,0,REX-000001,1,REPRESENTATIVE,,누워서 복부 수축하기,"[""MAT""]",[],"[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""CORE_BRACE""]","[""ABDOMEN""]","[""BEGINNER""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,ALL_FOURS_SQUAT_STRETCH,REX-000002,"[""REX-000002""]",GYM,REVIEW_REQUIRED,true,1,1,0,0,REX-000002,1,REPRESENTATIVE,,네발기기 대퇴사두근 스트레칭,"[""BODYWEIGHT""]",[],[],REVIEW_REQUIRED,"[""MOBILITY""]","[""MOBILITY_STRETCH""]","[""HIP"",""KNEE""]","[""INTERMEDIATE""]","[""WARMUP"",""COOLDOWN""]",REVIEW_REQUIRED,"[""GOAL_LINK_NOT_FOUND"",""PRESCRIPTION_LINK_NOT_FOUND""]",false
exercise-catalog-v2.0.2-final,ALL_FOURS_SQUAT_STRETCH,REX-000002,"[""REX-000002""]",HOME,REVIEW_REQUIRED,true,1,1,0,0,REX-000002,1,REPRESENTATIVE,,네발기기 대퇴사두근 스트레칭,"[""BODYWEIGHT""]",[],[],REVIEW_REQUIRED,"[""MOBILITY""]","[""MOBILITY_STRETCH""]","[""HIP"",""KNEE""]","[""INTERMEDIATE""]","[""WARMUP"",""COOLDOWN""]",REVIEW_REQUIRED,"[""GOAL_LINK_NOT_FOUND"",""PRESCRIPTION_LINK_NOT_FOUND""]",false
exercise-catalog-v2.0.2-final,ANKLE_CIRCLES,REX-000003,"[""REX-000003""]",GYM,COVERED_DRAFT,true,1,1,0,0,REX-000003,1,REPRESENTATIVE,,발목 돌리기,"[""BODYWEIGHT""]",[],"[""GENERAL_FITNESS""]",COVERED,"[""MOBILITY""]","[""MOBILITY_STRETCH""]","[""ANKLE_FOOT""]","[""BEGINNER""]","[""WARMUP"",""COOLDOWN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,ANKLE_CIRCLES,REX-000003,"[""REX-000003""]",HOME,COVERED_DRAFT,true,1,1,0,0,REX-000003,1,REPRESENTATIVE,,발목 돌리기,"[""BODYWEIGHT""]",[],"[""GENERAL_FITNESS""]",COVERED,"[""MOBILITY""]","[""MOBILITY_STRETCH""]","[""ANKLE_FOOT""]","[""BEGINNER""]","[""WARMUP"",""COOLDOWN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BARBELL_DEADLIFT,REX-000004,"[""REX-000004""]",GYM,COVERED_DRAFT,true,4,4,3,0,REX-000004,1,REPRESENTATIVE,,데드리프트,"[""BARBELL""]","[""VEX-000003"",""VEX-000001"",""VEX-000002""]","[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""HIP_DOMINANT""]","[""HIP"",""LOWER_BACK""]","[""BEGINNER"",""INTERMEDIATE""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BARBELL_DEADLIFT,REX-000004,"[""REX-000004""]",HOME,REVIEW_REQUIRED,false,1,1,1,0,VEX-000001,1,VARIANT,PRIMARY_VARIANT,덤벨 데드리프트,"[""DUMBBELL""]",[],"[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""HIP_DOMINANT""]","[""HIP""]","[""INTERMEDIATE""]","[""MAIN""]",REVIEW_REQUIRED,"[""DEFAULT_VARIANT_RELATION_REVIEW_REQUIRED""]",false
exercise-catalog-v2.0.2-final,BARBELL_FRONT_RAISE,REX-000005,"[""REX-000005""]",GYM,COVERED_DRAFT,true,5,5,4,0,REX-000005,1,REPRESENTATIVE,,프론트 레이즈,"[""BARBELL""]","[""VEX-000004"",""VEX-000005"",""VEX-000006"",""VEX-000007""]","[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""ISOLATION""]","[""SHOULDER""]","[""BEGINNER""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BARBELL_FRONT_RAISE,REX-000005,"[""REX-000005""]",HOME,REVIEW_REQUIRED,false,4,4,4,0,VEX-000004,1,VARIANT,PRIMARY_VARIANT,덤벨 프론트 레이즈,"[""DUMBBELL""]","[""VEX-000005"",""VEX-000006"",""VEX-000007""]","[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""ISOLATION""]","[""SHOULDER""]","[""BEGINNER""]","[""MAIN""]",REVIEW_REQUIRED,"[""DEFAULT_VARIANT_RELATION_REVIEW_REQUIRED""]",false
exercise-catalog-v2.0.2-final,BARBELL_PULLOVER,REX-000006,"[""REX-000006""]",GYM,COVERED_DRAFT,true,3,3,2,0,REX-000006,1,REPRESENTATIVE,,풀오버,"[""BARBELL""]","[""REX-000105"",""VEX-000008""]","[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""ISOLATION""]","[""UPPER_BACK""]","[""INTERMEDIATE""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BARBELL_PULLOVER,REX-000006,"[""REX-000006""]",HOME,UNAVAILABLE,false,0,0,0,0,,,,,,[],[],"[""GENERAL_FITNESS""]",COVERED,[],[],[],[],[],REVIEW_REQUIRED,"[""LOCATION_NOT_DECLARED""]",false
exercise-catalog-v2.0.2-final,BARBELL_STRAIGHT_LEG_DEADLIFT,REX-000007,"[""REX-000007""]",GYM,COVERED_DRAFT,true,7,7,6,0,REX-000007,1,REPRESENTATIVE,,루마니안 데드리프트,"[""BARBELL""]","[""VEX-000009"",""VEX-000010"",""VEX-000011"",""VEX-000012"",""VEX-000013"",""VEX-000014""]","[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""HIP_DOMINANT""]","[""HIP"",""LOWER_BACK""]","[""INTERMEDIATE""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BARBELL_STRAIGHT_LEG_DEADLIFT,REX-000007,"[""REX-000007""]",HOME,REVIEW_REQUIRED,false,4,4,4,0,VEX-000009,1,VARIANT,PRIMARY_VARIANT,덤벨 스티프 레그 데드리프트,"[""DUMBBELL""]","[""VEX-000010"",""VEX-000011"",""VEX-000012""]","[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""HIP_DOMINANT""]","[""HIP""]","[""INTERMEDIATE""]","[""MAIN""]",REVIEW_REQUIRED,"[""DEFAULT_VARIANT_RELATION_REVIEW_REQUIRED""]",false
exercise-catalog-v2.0.2-final,BODYWEIGHT_BACK_EXTENSION,REX-000008,"[""REX-000008""]",GYM,COVERED_DRAFT,true,1,1,0,0,REX-000008,1,REPRESENTATIVE,,백 익스텐션,"[""BODYWEIGHT""]",[],"[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""HIP_DOMINANT""]","[""LOWER_BACK""]","[""INTERMEDIATE""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BODYWEIGHT_BACK_EXTENSION,REX-000008,"[""REX-000008""]",HOME,COVERED_DRAFT,true,1,1,0,0,REX-000008,1,REPRESENTATIVE,,백 익스텐션,"[""BODYWEIGHT""]",[],"[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""HIP_DOMINANT""]","[""LOWER_BACK""]","[""INTERMEDIATE""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BODYWEIGHT_CRUNCH,REX-000009,"[""REX-000009""]",GYM,COVERED_DRAFT,true,2,2,1,0,REX-000009,1,REPRESENTATIVE,,크런치,"[""BODYWEIGHT""]","[""VEX-000015""]","[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""CORE_BRACE""]","[""ABDOMEN""]","[""BEGINNER"",""INTERMEDIATE""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BODYWEIGHT_CRUNCH,REX-000009,"[""REX-000009""]",HOME,COVERED_DRAFT,true,2,2,1,0,REX-000009,1,REPRESENTATIVE,,크런치,"[""BODYWEIGHT""]","[""VEX-000015""]","[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""CORE_BRACE""]","[""ABDOMEN""]","[""BEGINNER"",""INTERMEDIATE""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BODYWEIGHT_FORWARD_LUNGE,REX-000010,"[""REX-000010""]",GYM,COVERED_DRAFT,true,5,5,4,0,REX-000010,1,REPRESENTATIVE,,포워드 런지,"[""BODYWEIGHT""]","[""VEX-000016"",""VEX-000017"",""VEX-000018"",""VEX-000019""]","[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""KNEE_DOMINANT""]","[""HIP"",""KNEE""]","[""BEGINNER"",""INTERMEDIATE""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BODYWEIGHT_FORWARD_LUNGE,REX-000010,"[""REX-000010""]",HOME,COVERED_DRAFT,true,5,5,4,0,REX-000010,1,REPRESENTATIVE,,포워드 런지,"[""BODYWEIGHT""]","[""VEX-000016"",""VEX-000017"",""VEX-000018"",""VEX-000019""]","[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""KNEE_DOMINANT""]","[""HIP"",""KNEE""]","[""BEGINNER"",""INTERMEDIATE""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BODYWEIGHT_GLUTE_BRIDGE,REX-000011,"[""REX-000011""]",GYM,COVERED_DRAFT,true,1,1,0,0,REX-000011,1,REPRESENTATIVE,,글루트 브리지,"[""BODYWEIGHT""]",[],"[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""HIP_DOMINANT""]","[""HIP""]","[""BEGINNER""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BODYWEIGHT_GLUTE_BRIDGE,REX-000011,"[""REX-000011""]",HOME,COVERED_DRAFT,true,1,1,0,0,REX-000011,1,REPRESENTATIVE,,글루트 브리지,"[""BODYWEIGHT""]",[],"[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""HIP_DOMINANT""]","[""HIP""]","[""BEGINNER""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BODYWEIGHT_PULL_UP_BICEPS,REX-000012,"[""REX-000012""]",GYM,COVERED_DRAFT,true,1,1,0,0,REX-000012,1,REPRESENTATIVE,,풀업,"[""BODYWEIGHT"",""PULL_UP_BAR""]",[],"[""GENERAL_FITNESS""]",COVERED,"[""STRENGTH""]","[""VERTICAL_PULL""]","[""ELBOW""]","[""INTERMEDIATE""]","[""MAIN""]",DOMAIN_APPROVED,[],false
exercise-catalog-v2.0.2-final,BODYWEIGHT_PULL_UP_BICEPS,REX-000012,"[""REX-000012""]",HOME,UNAVAILABLE,false,0,0,0,0,,,,,,[],[],"[""GENERAL_FITNESS""]",COVERED,[],[],[],[],[],REVIEW_REQUIRED,"[""LOCATION_NOT_DECLARED""]",false
