binding_state_reason_code,exercise_id,fitt_binding_state_code,goal_binding_state_code,production_eligible,record_type,safety_binding_state_code,stable_code
EXISTING_REBASED_REFERENCE,REX-000032,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,dynamic_chest_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000033,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,exercise_ball_hip_flexor_stretch_mobility_stretch_stability_ball
EXISTING_REBASED_REFERENCE,REX-000034,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,hamstring_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000035,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,hand_grip_squeeze_isolation_household_weight
EXISTING_REBASED_REFERENCE,REX-000036,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,hip_flexor_quadriceps_stretch_mobility_stretch_stretch_strap
EXISTING_REBASED_REFERENCE,REX-000038,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,inverted_row_horizontal_pull_bodyweight
EXISTING_REBASED_REFERENCE,REX-000039,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,kneeling_lat_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000040,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,lat_pulldown_vertical_pull_cable_machine
EXISTING_REBASED_REFERENCE,REX-000043,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,lower_back_curl_core_brace_bodyweight
EXISTING_REBASED_REFERENCE,REX-000045,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,neck_lateral_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000046,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,one_arm_wall_lats_isolation_bodyweight
EXISTING_REBASED_REFERENCE,REX-000047,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,overhead_triceps_extension_isolation_barbell
EXISTING_REBASED_REFERENCE,REX-000048,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,overhead_triceps_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000049,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,pectorals_horizontal_push_horizontal_push_machine
EXISTING_REBASED_REFERENCE,REX-000050,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,peroneal_stretch_mobility_stretch_stretch_strap
EXISTING_REBASED_REFERENCE,REX-000052,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,push_up_horizontal_push_bodyweight
EXISTING_REBASED_REFERENCE,REX-000053,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,rear_deltoid_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000054,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,reverse_calf_raise_isolation_resistance_band
EXISTING_REBASED_REFERENCE,REX-000055,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,reverse_wrist_curl_isolation_barbell
EXISTING_REBASED_REFERENCE,REX-000056,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,cardio_gait_bodyweight
EXISTING_REBASED_REFERENCE,REX-000057,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,hip_flexion_isolation_bodyweight
EXISTING_REBASED_REFERENCE,REX-000058,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,cardio_gait_bodyweight_rex_000058
EXISTING_REBASED_REFERENCE,REX-000059,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,cardio_jump_plyometric_bodyweight
EXISTING_REBASED_REFERENCE,REX-000064,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,hip_flexion_isolation_bodyweight_rex_000064
EXISTING_REBASED_REFERENCE,REX-000066,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,mobility_balance_bodyweight
EXISTING_REBASED_REFERENCE,REX-000068,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,cardio_gait_step_box
EXISTING_REBASED_REFERENCE,REX-000069,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,leg_press_knee_dominant_resistance_band
EXISTING_REBASED_REFERENCE,REX-000070,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,cardio_gait_machine
EXISTING_REBASED_REFERENCE,REX-000071,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,cardio_gait_machine_rex_000071
EXISTING_REBASED_REFERENCE,REX-000073,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,roller_back_stretch_mobility_stretch_foam_roller
EXISTING_REBASED_REFERENCE,REX-000074,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,roller_hip_stretch_mobility_stretch_foam_roller
EXISTING_REBASED_REFERENCE,REX-000076,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,row_variant_horizontal_pull_cable_machine
EXISTING_REBASED_REFERENCE,REX-000077,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,runners_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000079,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,seated_cable_row_horizontal_pull_cable_machine
