review_record_id,legacy_record_number,legacy_relation_identity,legacy_reason_code,legacy_goal_preservation_code,legacy_relation_type,source_exercise_stable_code_legacy,source_exercise_stable_code,source_exercise_id,source_record_type,source_exercise_name_ko,source_primary_movement_pattern_code,source_primary_body_area_codes,source_secondary_body_area_codes,source_equipment_codes,source_location_codes,source_difficulty_code,target_exercise_stable_code_legacy,target_exercise_stable_code,target_exercise_id,target_record_type,target_exercise_name_ko,target_primary_movement_pattern_code,target_primary_body_area_codes,target_secondary_body_area_codes,target_equipment_codes,target_location_codes,target_difficulty_code,candidate_origin_code,pain_discomfort_area_code,condition_code,pain_score_min,pain_score_max,severity_code,service_action_code,source_load_to_avoid_code,source_load_to_avoid_detail,source_load_pain_area_overlap,target_load_reduction_basis_code,target_pain_area_overlap,target_difficulty_not_higher,source_target_same_family,source_target_same_movement_pattern,variant_relation_overlap,variant_type_code,direction_code,directionality_check_code,decision,decision_code,reclassification_code,review_reason_code,review_reason_ko,area_specific_safety_review_code,area_specific_safety_guard_codes,evidence_source,evidence_reviewer,evidence_reviewed_at,legacy_review_method_code,legacy_review_status_code,legacy_source_catalog_version_code,legacy_source_manifest_hash,legacy_source_relation_key,legacy_source_metadata,decision_source_code,decision_reviewer_code,review_status_code,production_eligible
ALT-LEGACY-5cbcc6a84aa9f707,1,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|mapping:ABDOMEN:NRS_1_3:REX-000001:REX-000009:DISCOMFORT,DISCOMFORT,SAME_GOAL,,abs_core_brace_core_brace_mat,abs_core_brace_core_brace_mat,REX-000001,REPRESENTATIVE,누워서 복부 수축하기,CORE_BRACE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""MAT""]","[""HOME"",""GYM""]",BEGINNER,bodyweight_crunch_core_brace_bodyweight,bodyweight_crunch_core_brace_bodyweight,REX-000009,REPRESENTATIVE,크런치,CORE_BRACE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,LEGACY_ALTERNATIVE,ABDOMEN,NRS_1_3,1,3,MILD,LOAD_REDUCED,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":""ABDOMEN"",""source_body_area_codes"":[""ABDOMEN"",""LOWER_BACK""],""source_equipment_codes"":[""MAT""],""source_primary_movement_pattern_code"":""CORE_BRACE""}",true,UNCONFIRMED,true,true,false,true,false,,A_TO_B,NOT_APPLICABLE,REMOVE_RECLASSIFY,REMOVE_UNSAFE_SAME_AREA_TARGET,REMOVE_TARGET_RETAINS_DISCOMFORT_AREA,TARGET_RETAINS_DISCOMFORT_AREA,NRS 점수가 1~3인 경미한 조건이어도 target이 보고된 불편 부위를 포함하므로 동일 부담·위험을 남길 수 있어 Alternative에서 삭제한다.,,[],normalized/v2_discomfort_alternative_mapping.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,mapping:ABDOMEN:NRS_1_3:REX-000001:REX-000009:DISCOMFORT,"{""alternative_target_muscle_code"":""CORE"",""body_area_code"":""ABDOMEN"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""score_band_code"":""NRS_1_3"",""selection_basis"":""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"",""source_path"":""normalized/v2_discomfort_alternative_mapping.csv"",""source_relation_key"":""mapping:ABDOMEN:NRS_1_3:REX-000001:REX-000009:DISCOMFORT"",""source_target_muscle_code"":""CORE""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-LEGACY-5bcedf40c65ebc56,2,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|NEX-000177:NEX-000094:RECOVERY,LOCATION,CORE_STABILITY,RECOVERY,abs_core_brace_core_brace_mat,abs_core_brace_core_brace_mat,REX-000001,REPRESENTATIVE,누워서 복부 수축하기,CORE_BRACE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""MAT""]","[""HOME"",""GYM""]",BEGINNER,bodyweight_reverse_crunch_core_brace_bodyweight,bodyweight_reverse_crunch_core_brace_bodyweight,REX-000013,REPRESENTATIVE,리버스 크런치,CORE_BRACE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",INTERMEDIATE,LEGACY_ALTERNATIVE,,,,,,,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":"""",""source_body_area_codes"":[""ABDOMEN"",""LOWER_BACK""],""source_equipment_codes"":[""MAT""],""source_primary_movement_pattern_code"":""CORE_BRACE""}",false,TARGET_EXCLUDES_DISCOMFORT_AREA,false,false,false,true,false,,A_TO_B,NOT_APPLICABLE,REMOVE_RECLASSIFY,REMOVE_FROM_ALTERNATIVE_SET,RECLASSIFY_CONTEXT_DEFAULT,NO_DISCOMFORT_CONDITION,통증·불편 조건이 없는 관계이므로 Alternative에서 제거하고 다른 관계 체계로 보낸다.,,[],generated/exercise-alternatives-v0.3.0/alternative_relationships.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,NEX-000177:NEX-000094:RECOVERY,"{""legacy_relationship_type"":""RECOVERY"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""selection_basis"":""REX_ENDPOINT_AND_V2_CATALOG_RECHECK"",""source_path"":""generated/exercise-alternatives-v0.3.0/alternative_relationships.csv"",""source_relation_key"":""NEX-000177:NEX-000094:RECOVERY""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-LEGACY-0613eb89e21cbd4f,4,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|mapping:ANKLE_FOOT:NRS_1_3:REX-000002:REX-000003:DISCOMFORT,DISCOMFORT,SAME_GOAL,,all_fours_squat_stretch_mobility_stretch_bodyweight,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,REX-000002,REPRESENTATIVE,네발기기 대퇴사두근 스트레칭,MOBILITY_STRETCH,"[""KNEE"",""HIP""]","[""ANKLE_FOOT""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",INTERMEDIATE,ankle_circles_mobility_stretch_bodyweight,ankle_circles_mobility_stretch_bodyweight,REX-000003,REPRESENTATIVE,발목 돌리기,MOBILITY_STRETCH,"[""ANKLE_FOOT""]","[""KNEE""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,LEGACY_ALTERNATIVE,ANKLE_FOOT,NRS_1_3,1,3,MILD,LOAD_REDUCED,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":""ANKLE_FOOT"",""source_body_area_codes"":[""ANKLE_FOOT"",""HIP"",""KNEE""],""source_equipment_codes"":[""BODYWEIGHT""],""source_primary_movement_pattern_code"":""MOBILITY_STRETCH""}",true,UNCONFIRMED,true,true,false,true,false,,A_TO_B,NOT_APPLICABLE,REMOVE_RECLASSIFY,REMOVE_UNSAFE_SAME_AREA_TARGET,REMOVE_TARGET_RETAINS_DISCOMFORT_AREA,TARGET_RETAINS_DISCOMFORT_AREA,NRS 점수가 1~3인 경미한 조건이어도 target이 보고된 불편 부위를 포함하므로 동일 부담·위험을 남길 수 있어 Alternative에서 삭제한다.,,[],normalized/v2_discomfort_alternative_mapping.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,mapping:ANKLE_FOOT:NRS_1_3:REX-000002:REX-000003:DISCOMFORT,"{""alternative_target_muscle_code"":""MOBILITY"",""body_area_code"":""ANKLE_FOOT"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""score_band_code"":""NRS_1_3"",""selection_basis"":""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"",""source_path"":""normalized/v2_discomfort_alternative_mapping.csv"",""source_relation_key"":""mapping:ANKLE_FOOT:NRS_1_3:REX-000002:REX-000003:DISCOMFORT"",""source_target_muscle_code"":""MOBILITY""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-LEGACY-29c3f406dc9c0bda,6,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|NEX-000131:NEX-000132:INTENSITY,DIFFICULTY,MOBILITY_QUAD,INTENSITY,all_fours_squat_stretch_mobility_stretch_bodyweight,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,REX-000002,REPRESENTATIVE,네발기기 대퇴사두근 스트레칭,MOBILITY_STRETCH,"[""KNEE"",""HIP""]","[""ANKLE_FOOT""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",INTERMEDIATE,chair_leg_extended_stretch_mobility_stretch_bodyweight,chair_leg_extended_stretch_mobility_stretch_bodyweight,REX-000020,REPRESENTATIVE,시티드 레그 익스텐션 스트레칭,MOBILITY_STRETCH,"[""KNEE""]","[""HIP""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,LEGACY_ALTERNATIVE,,,,,,,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":"""",""source_body_area_codes"":[""ANKLE_FOOT"",""HIP"",""KNEE""],""source_equipment_codes"":[""BODYWEIGHT""],""source_primary_movement_pattern_code"":""MOBILITY_STRETCH""}",false,TARGET_EXCLUDES_DISCOMFORT_AREA,false,true,false,true,false,,A_TO_B,NOT_APPLICABLE,REMOVE_RECLASSIFY,REMOVE_FROM_ALTERNATIVE_SET,RECLASSIFY_DIFFICULTY_VARIANT,NO_DISCOMFORT_CONDITION,통증·불편 조건이 없는 관계이므로 Alternative에서 제거하고 다른 관계 체계로 보낸다.,,[],generated/exercise-alternatives-v0.3.0/alternative_relationships.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,NEX-000131:NEX-000132:INTENSITY,"{""legacy_relationship_type"":""INTENSITY"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""selection_basis"":""REX_ENDPOINT_AND_V2_CATALOG_RECHECK"",""source_path"":""generated/exercise-alternatives-v0.3.0/alternative_relationships.csv"",""source_relation_key"":""NEX-000131:NEX-000132:INTENSITY""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-LEGACY-9590eb170eeec1ed,7,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|NEX-000131:NEX-000072:INTENSITY,DIFFICULTY,MOBILITY_QUAD,INTENSITY,all_fours_squat_stretch_mobility_stretch_bodyweight,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,REX-000002,REPRESENTATIVE,네발기기 대퇴사두근 스트레칭,MOBILITY_STRETCH,"[""KNEE"",""HIP""]","[""ANKLE_FOOT""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",INTERMEDIATE,side_lying_quadriceps_stretch_mobility_stretch_bodyweight,side_lying_quadriceps_stretch_mobility_stretch_bodyweight,REX-000088,REPRESENTATIVE,옆으로 누워 대퇴사두근 스트레칭,MOBILITY_STRETCH,"[""KNEE""]","[""HIP""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,LEGACY_ALTERNATIVE,,,,,,,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":"""",""source_body_area_codes"":[""ANKLE_FOOT"",""HIP"",""KNEE""],""source_equipment_codes"":[""BODYWEIGHT""],""source_primary_movement_pattern_code"":""MOBILITY_STRETCH""}",false,TARGET_EXCLUDES_DISCOMFORT_AREA,false,true,false,true,false,,A_TO_B,NOT_APPLICABLE,REMOVE_RECLASSIFY,REMOVE_FROM_ALTERNATIVE_SET,RECLASSIFY_DIFFICULTY_VARIANT,NO_DISCOMFORT_CONDITION,통증·불편 조건이 없는 관계이므로 Alternative에서 제거하고 다른 관계 체계로 보낸다.,,[],generated/exercise-alternatives-v0.3.0/alternative_relationships.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,NEX-000131:NEX-000072:INTENSITY,"{""legacy_relationship_type"":""INTENSITY"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""selection_basis"":""REX_ENDPOINT_AND_V2_CATALOG_RECHECK"",""source_path"":""generated/exercise-alternatives-v0.3.0/alternative_relationships.csv"",""source_relation_key"":""NEX-000131:NEX-000072:INTENSITY""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-LEGACY-825373dc9d9b716c,10,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|NEX-000001:NEX-000064:CONSTRAINT,LOCATION,POSTERIOR_CHAIN_STRENGTH,CONSTRAINT,barbell_deadlift_hip_dominant_barbell,barbell_deadlift_hip_dominant_barbell,REX-000004,REPRESENTATIVE,데드리프트,HIP_DOMINANT,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""BARBELL""]","[""GYM""]",INTERMEDIATE,bodyweight_back_extension_hip_dominant_bodyweight,bodyweight_back_extension_hip_dominant_bodyweight,REX-000008,REPRESENTATIVE,백 익스텐션,HIP_DOMINANT,"[""LOWER_BACK""]","[""HIP"",""UPPER_BACK""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",INTERMEDIATE,LEGACY_ALTERNATIVE,,,,,,,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":"""",""source_body_area_codes"":[""HIP"",""KNEE"",""LOWER_BACK""],""source_equipment_codes"":[""BARBELL""],""source_primary_movement_pattern_code"":""HIP_DOMINANT""}",false,TARGET_EXCLUDES_DISCOMFORT_AREA,false,true,false,true,false,,A_TO_B,NOT_APPLICABLE,REMOVE_RECLASSIFY,REMOVE_FROM_ALTERNATIVE_SET,RECLASSIFY_CONTEXT_DEFAULT,NO_DISCOMFORT_CONDITION,통증·불편 조건이 없는 관계이므로 Alternative에서 제거하고 다른 관계 체계로 보낸다.,,[],generated/exercise-alternatives-v0.3.0/alternative_relationships.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,NEX-000001:NEX-000064:CONSTRAINT,"{""legacy_relationship_type"":""CONSTRAINT"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""selection_basis"":""REX_ENDPOINT_AND_V2_CATALOG_RECHECK"",""source_path"":""generated/exercise-alternatives-v0.3.0/alternative_relationships.csv"",""source_relation_key"":""NEX-000001:NEX-000064:CONSTRAINT""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-LEGACY-c28440cb5319086d,12,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|mapping:HIP:NRS_1_3:REX-000004:REX-000011:DISCOMFORT,DISCOMFORT,SAME_GOAL,,barbell_deadlift_hip_dominant_barbell,barbell_deadlift_hip_dominant_barbell,REX-000004,REPRESENTATIVE,데드리프트,HIP_DOMINANT,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""BARBELL""]","[""GYM""]",INTERMEDIATE,bodyweight_glute_bridge_hip_dominant_bodyweight,bodyweight_glute_bridge_hip_dominant_bodyweight,REX-000011,REPRESENTATIVE,글루트 브리지,HIP_DOMINANT,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,LEGACY_ALTERNATIVE,HIP,NRS_1_3,1,3,MILD,LOAD_REDUCED,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":""HIP"",""source_body_area_codes"":[""HIP"",""KNEE"",""LOWER_BACK""],""source_equipment_codes"":[""BARBELL""],""source_primary_movement_pattern_code"":""HIP_DOMINANT""}",true,UNCONFIRMED,true,true,false,true,false,,A_TO_B,NOT_APPLICABLE,REMOVE_RECLASSIFY,REMOVE_UNSAFE_SAME_AREA_TARGET,REMOVE_TARGET_RETAINS_DISCOMFORT_AREA,TARGET_RETAINS_DISCOMFORT_AREA,NRS 점수가 1~3인 경미한 조건이어도 target이 보고된 불편 부위를 포함하므로 동일 부담·위험을 남길 수 있어 Alternative에서 삭제한다.,,[],normalized/v2_discomfort_alternative_mapping.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,mapping:HIP:NRS_1_3:REX-000004:REX-000011:DISCOMFORT,"{""alternative_target_muscle_code"":""GLUTES"",""body_area_code"":""HIP"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""score_band_code"":""NRS_1_3"",""selection_basis"":""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"",""source_path"":""normalized/v2_discomfort_alternative_mapping.csv"",""source_relation_key"":""mapping:HIP:NRS_1_3:REX-000004:REX-000011:DISCOMFORT"",""source_target_muscle_code"":""GLUTES""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-LEGACY-4461ef97f65e8d52,13,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|NEX-000001:NEX-000162:INTENSITY,LOCATION,POSTERIOR_CHAIN_STRENGTH,INTENSITY,barbell_deadlift_hip_dominant_barbell,barbell_deadlift_hip_dominant_barbell,REX-000004,REPRESENTATIVE,데드리프트,HIP_DOMINANT,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""BARBELL""]","[""GYM""]",INTERMEDIATE,bodyweight_glute_bridge_hip_dominant_bodyweight,bodyweight_glute_bridge_hip_dominant_bodyweight,REX-000011,REPRESENTATIVE,글루트 브리지,HIP_DOMINANT,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,LEGACY_ALTERNATIVE,,,,,,,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":"""",""source_body_area_codes"":[""HIP"",""KNEE"",""LOWER_BACK""],""source_equipment_codes"":[""BARBELL""],""source_primary_movement_pattern_code"":""HIP_DOMINANT""}",false,TARGET_EXCLUDES_DISCOMFORT_AREA,false,true,false,true,false,,A_TO_B,NOT_APPLICABLE,REMOVE_RECLASSIFY,REMOVE_FROM_ALTERNATIVE_SET,RECLASSIFY_CONTEXT_DEFAULT,NO_DISCOMFORT_CONDITION,통증·불편 조건이 없는 관계이므로 Alternative에서 제거하고 다른 관계 체계로 보낸다.,,[],generated/exercise-alternatives-v0.3.0/alternative_relationships.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,NEX-000001:NEX-000162:INTENSITY,"{""legacy_relationship_type"":""INTENSITY"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""selection_basis"":""REX_ENDPOINT_AND_V2_CATALOG_RECHECK"",""source_path"":""generated/exercise-alternatives-v0.3.0/alternative_relationships.csv"",""source_relation_key"":""NEX-000001:NEX-000162:INTENSITY""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-LEGACY-651d576585702b40,16,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|mapping:ELBOW:NRS_1_3:REX-000005:REX-000026:DISCOMFORT,DISCOMFORT,SAME_GOAL,,barbell_front_raise_isolation_barbell,barbell_front_raise_isolation_barbell,REX-000005,REPRESENTATIVE,프론트 레이즈,ISOLATION,"[""SHOULDER""]","[""ELBOW""]","[""BARBELL""]","[""GYM""]",BEGINNER,dumbbell_lateral_raise_isolation_dumbbell,dumbbell_lateral_raise_isolation_dumbbell,REX-000026,REPRESENTATIVE,레터럴 레이즈,ISOLATION,"[""SHOULDER""]","[""ELBOW""]","[""DUMBBELL""]","[""HOME"",""GYM""]",BEGINNER,LEGACY_ALTERNATIVE,ELBOW,NRS_1_3,1,3,MILD,LOAD_REDUCED,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":""ELBOW"",""source_body_area_codes"":[""ELBOW"",""SHOULDER""],""source_equipment_codes"":[""BARBELL""],""source_primary_movement_pattern_code"":""ISOLATION""}",true,UNCONFIRMED,true,true,false,true,false,,A_TO_B,NOT_APPLICABLE,REMOVE_RECLASSIFY,REMOVE_UNSAFE_SAME_AREA_TARGET,REMOVE_TARGET_RETAINS_DISCOMFORT_AREA,TARGET_RETAINS_DISCOMFORT_AREA,NRS 점수가 1~3인 경미한 조건이어도 target이 보고된 불편 부위를 포함하므로 동일 부담·위험을 남길 수 있어 Alternative에서 삭제한다.,,[],normalized/v2_discomfort_alternative_mapping.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,mapping:ELBOW:NRS_1_3:REX-000005:REX-000026:DISCOMFORT,"{""alternative_target_muscle_code"":""SHOULDERS"",""body_area_code"":""ELBOW"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""score_band_code"":""NRS_1_3"",""selection_basis"":""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"",""source_path"":""normalized/v2_discomfort_alternative_mapping.csv"",""source_relation_key"":""mapping:ELBOW:NRS_1_3:REX-000005:REX-000026:DISCOMFORT"",""source_target_muscle_code"":""SHOULDERS""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-LEGACY-22f5553fc13f059d,19,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|NEX-000002:NEX-000113:CONSTRAINT,LOCATION,ISOLATION_LAT_PULL,CONSTRAINT,barbell_pullover_isolation_barbell,barbell_pullover_isolation_barbell,REX-000006,REPRESENTATIVE,풀오버,ISOLATION,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]","[""BARBELL""]","[""GYM""]",INTERMEDIATE,one_arm_wall_lats_isolation_bodyweight,one_arm_wall_lats_isolation_bodyweight,REX-000046,REPRESENTATIVE,벽 짚고 한 팔 광배근 스트레칭,ISOLATION,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,LEGACY_ALTERNATIVE,,,,,,,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":"""",""source_body_area_codes"":[""CHEST"",""ELBOW"",""UPPER_BACK""],""source_equipment_codes"":[""BARBELL""],""source_primary_movement_pattern_code"":""ISOLATION""}",false,TARGET_EXCLUDES_DISCOMFORT_AREA,false,true,false,true,false,,A_TO_B,NOT_APPLICABLE,REMOVE_RECLASSIFY,REMOVE_FROM_ALTERNATIVE_SET,RECLASSIFY_CONTEXT_DEFAULT,NO_DISCOMFORT_CONDITION,통증·불편 조건이 없는 관계이므로 Alternative에서 제거하고 다른 관계 체계로 보낸다.,,[],generated/exercise-alternatives-v0.3.0/alternative_relationships.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,NEX-000002:NEX-000113:CONSTRAINT,"{""legacy_relationship_type"":""CONSTRAINT"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""selection_basis"":""REX_ENDPOINT_AND_V2_CATALOG_RECHECK"",""source_path"":""generated/exercise-alternatives-v0.3.0/alternative_relationships.csv"",""source_relation_key"":""NEX-000002:NEX-000113:CONSTRAINT""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
