review_record_id,legacy_record_number,legacy_relation_identity,legacy_reason_code,legacy_goal_preservation_code,legacy_relation_type,source_exercise_stable_code_legacy,source_exercise_stable_code,source_exercise_id,source_record_type,source_exercise_name_ko,source_primary_movement_pattern_code,source_primary_body_area_codes,source_secondary_body_area_codes,source_equipment_codes,source_location_codes,source_difficulty_code,target_exercise_stable_code_legacy,target_exercise_stable_code,target_exercise_id,target_record_type,target_exercise_name_ko,target_primary_movement_pattern_code,target_primary_body_area_codes,target_secondary_body_area_codes,target_equipment_codes,target_location_codes,target_difficulty_code,candidate_origin_code,pain_discomfort_area_code,condition_code,pain_score_min,pain_score_max,severity_code,service_action_code,source_load_to_avoid_code,source_load_to_avoid_detail,source_load_pain_area_overlap,target_load_reduction_basis_code,target_pain_area_overlap,target_difficulty_not_higher,source_target_same_family,source_target_same_movement_pattern,variant_relation_overlap,variant_type_code,direction_code,directionality_check_code,decision,decision_code,reclassification_code,review_reason_code,review_reason_ko,area_specific_safety_review_code,area_specific_safety_guard_codes,evidence_source,evidence_reviewer,evidence_reviewed_at,legacy_review_method_code,legacy_review_status_code,legacy_source_catalog_version_code,legacy_source_manifest_hash,legacy_source_relation_key,legacy_source_metadata,decision_source_code,decision_reviewer_code,review_status_code,production_eligible
ALT-LEGACY-77a3157d1baab51d,166,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|mapping:NECK:NRS_1_3:REX-000045:REX-000003:DISCOMFORT,DISCOMFORT,SAME_GOAL,,neck_lateral_stretch_mobility_stretch_bodyweight,neck_lateral_stretch_mobility_stretch_bodyweight,REX-000045,REPRESENTATIVE,목 옆면 스트레칭,MOBILITY_STRETCH,"[""NECK""]","[""SHOULDER""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,ankle_circles_mobility_stretch_bodyweight,ankle_circles_mobility_stretch_bodyweight,REX-000003,REPRESENTATIVE,발목 돌리기,MOBILITY_STRETCH,"[""ANKLE_FOOT""]","[""KNEE""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,LEGACY_ALTERNATIVE,NECK,NRS_1_3,1,3,MILD,LOAD_REDUCED,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":""NECK"",""source_body_area_codes"":[""NECK"",""SHOULDER""],""source_equipment_codes"":[""BODYWEIGHT""],""source_primary_movement_pattern_code"":""MOBILITY_STRETCH""}",true,TARGET_EXCLUDES_DISCOMFORT_AREA,false,true,false,true,false,,A_TO_B,PASS_SOURCE_LOADS_AREA_TARGET_EXCLUDES_AREA,KEEP,RETAIN_DISCOMFORT_ALTERNATIVE,,,,NECK_DISTAL_TARGET_CONDITIONALLY_RETAINED,"[""NEUTRAL_HEAD_AND_NECK_REQUIRED"",""DISTAL_LOW_LOAD_TARGET_ONLY"",""STOP_IF_NECK_DISCOMFORT_INCREASES""]",normalized/v2_discomfort_alternative_mapping.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,mapping:NECK:NRS_1_3:REX-000045:REX-000003:DISCOMFORT,"{""alternative_target_muscle_code"":""MOBILITY"",""body_area_code"":""NECK"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""score_band_code"":""NRS_1_3"",""selection_basis"":""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"",""source_path"":""normalized/v2_discomfort_alternative_mapping.csv"",""source_relation_key"":""mapping:NECK:NRS_1_3:REX-000045:REX-000003:DISCOMFORT"",""source_target_muscle_code"":""MOBILITY""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-LEGACY-50637db7e04b2502,167,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|mapping:NECK:NRS_4_6:REX-000045:REX-000009:DISCOMFORT,DISCOMFORT,ACTIVE_RECOVERY,,neck_lateral_stretch_mobility_stretch_bodyweight,neck_lateral_stretch_mobility_stretch_bodyweight,REX-000045,REPRESENTATIVE,목 옆면 스트레칭,MOBILITY_STRETCH,"[""NECK""]","[""SHOULDER""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,bodyweight_crunch_core_brace_bodyweight,bodyweight_crunch_core_brace_bodyweight,REX-000009,REPRESENTATIVE,크런치,CORE_BRACE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,LEGACY_ALTERNATIVE,NECK,NRS_4_6,4,6,MODERATE,SKIP_AFFECTED_AREA,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":""NECK"",""source_body_area_codes"":[""NECK"",""SHOULDER""],""source_equipment_codes"":[""BODYWEIGHT""],""source_primary_movement_pattern_code"":""MOBILITY_STRETCH""}",true,TARGET_EXCLUDES_DISCOMFORT_AREA,false,true,false,false,false,,A_TO_B,NOT_APPLICABLE,REMOVE_RECLASSIFY,REMOVE_NECK_UNSAFE_TARGET,REMOVE_NECK_TARGET_SAFETY_UNCONFIRMED,NECK_TARGET_SAFETY_UNCONFIRMED,목 불편 조건에서 target의 목 부담 감소가 확인되지 않는 core/bracing 패턴이므로 Alternative에서 제거한다.,,[],normalized/v2_discomfort_alternative_mapping.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DOMAIN_REVIEWER,DOMAIN_APPROVED,exercise-catalog-v2.0.2-draft,d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f,mapping:NECK:NRS_4_6:REX-000045:REX-000009:DISCOMFORT,"{""alternative_target_muscle_code"":""CORE"",""body_area_code"":""NECK"",""materialization_version"":""v2-representative-decisions-2026-08-24"",""score_band_code"":""NRS_4_6"",""selection_basis"":""DOMAIN_APPROVED_SCORE_BAND_AND_TARGET_MUSCLE_POLICY"",""source_path"":""normalized/v2_discomfort_alternative_mapping.csv"",""source_relation_key"":""mapping:NECK:NRS_4_6:REX-000045:REX-000009:DISCOMFORT"",""source_target_muscle_code"":""MOBILITY""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-SUPPLEMENTAL-6abeaa3158f844cd,1001,exercise-catalog-v2.0.2-final|ab1180f4ae30c7d58004157283e63fe794ea0cf5969dd3c0c8ff80f9c9d33362|NECK-SUPPLEMENT-0001,DISCOMFORT,ACTIVE_RECOVERY,SUPPLEMENTAL_DISCOMFORT_CANDIDATE,neck_lateral_stretch_mobility_stretch_bodyweight,neck_lateral_stretch_mobility_stretch_bodyweight,REX-000045,REPRESENTATIVE,목 옆면 스트레칭,MOBILITY_STRETCH,"[""NECK""]","[""SHOULDER""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,bodyweight_standing_calf_raise_isolation_bodyweight,bodyweight_standing_calf_raise_isolation_bodyweight,REX-000016,REPRESENTATIVE,스탠딩 카프 레이즈,ISOLATION,"[""ANKLE_FOOT""]","[""KNEE""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,SUPPLEMENTAL_NECK,NECK,NRS_4_6,4,6,MODERATE,SKIP_AFFECTED_AREA,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":""NECK"",""source_body_area_codes"":[""NECK"",""SHOULDER""],""source_equipment_codes"":[""BODYWEIGHT""],""source_primary_movement_pattern_code"":""MOBILITY_STRETCH""}",true,TARGET_EXCLUDES_DISCOMFORT_AREA,false,true,false,false,false,,A_TO_B,PASS_SOURCE_LOADS_AREA_TARGET_EXCLUDES_AREA,KEEP,RETAIN_DISCOMFORT_ALTERNATIVE,,,,NECK_DISTAL_TARGET_CONDITIONALLY_RETAINED,"[""NEUTRAL_HEAD_AND_NECK_REQUIRED"",""DISTAL_LOW_LOAD_TARGET_ONLY"",""STOP_IF_NECK_DISCOMFORT_INCREASES""]",exercise-catalog-v2.0.2-final/catalog/exercises.jsonl; neck area safety policy v2.0.2,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DETERMINISTIC_POLICY_REVIEW,REVIEW_REQUIRED,exercise-catalog-v2.0.2-final,ab1180f4ae30c7d58004157283e63fe794ea0cf5969dd3c0c8ff80f9c9d33362,NECK-SUPPLEMENT-0001,"{""body_area_code"":""NECK"",""candidate_origin_code"":""SUPPLEMENTAL_NECK"",""catalog_path"":""data/generated/exercise-catalog-v2.0.2-intermediate/variant-materialization-v1/catalog/exercises.jsonl"",""legacy_relationship_type"":""SUPPLEMENTAL_DISCOMFORT_CANDIDATE"",""score_band_code"":""NRS_4_6"",""source_path"":""data/normalized/neck_discomfort_alternative_candidates_v2_0_2.json"",""source_relation_key"":""NECK-SUPPLEMENT-0001""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
ALT-SUPPLEMENTAL-b45c99ef694c99f2,1002,exercise-catalog-v2.0.2-final|ab1180f4ae30c7d58004157283e63fe794ea0cf5969dd3c0c8ff80f9c9d33362|NECK-SUPPLEMENT-0002,DISCOMFORT,ACTIVE_RECOVERY,SUPPLEMENTAL_DISCOMFORT_CANDIDATE,neck_lateral_stretch_mobility_stretch_bodyweight,neck_lateral_stretch_mobility_stretch_bodyweight,REX-000045,REPRESENTATIVE,목 옆면 스트레칭,MOBILITY_STRETCH,"[""NECK""]","[""SHOULDER""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,butterfly_adductor_stretch_mobility_stretch_bodyweight,butterfly_adductor_stretch_mobility_stretch_bodyweight,REX-000017,REPRESENTATIVE,버터플라이 스트레칭,MOBILITY_STRETCH,"[""HIP""]","[""KNEE""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",BEGINNER,SUPPLEMENTAL_NECK,NECK,NRS_4_6,4,6,MODERATE,SKIP_AFFECTED_AREA,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":""NECK"",""source_body_area_codes"":[""NECK"",""SHOULDER""],""source_equipment_codes"":[""BODYWEIGHT""],""source_primary_movement_pattern_code"":""MOBILITY_STRETCH""}",true,TARGET_EXCLUDES_DISCOMFORT_AREA,false,true,false,true,false,,A_TO_B,PASS_SOURCE_LOADS_AREA_TARGET_EXCLUDES_AREA,KEEP,RETAIN_DISCOMFORT_ALTERNATIVE,,,,NECK_DISTAL_TARGET_CONDITIONALLY_RETAINED,"[""NEUTRAL_HEAD_AND_NECK_REQUIRED"",""DISTAL_LOW_LOAD_TARGET_ONLY"",""STOP_IF_NECK_DISCOMFORT_INCREASES""]",exercise-catalog-v2.0.2-final/catalog/exercises.jsonl; neck area safety policy v2.0.2,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DETERMINISTIC_POLICY_REVIEW,REVIEW_REQUIRED,exercise-catalog-v2.0.2-final,ab1180f4ae30c7d58004157283e63fe794ea0cf5969dd3c0c8ff80f9c9d33362,NECK-SUPPLEMENT-0002,"{""body_area_code"":""NECK"",""candidate_origin_code"":""SUPPLEMENTAL_NECK"",""catalog_path"":""data/generated/exercise-catalog-v2.0.2-intermediate/variant-materialization-v1/catalog/exercises.jsonl"",""legacy_relationship_type"":""SUPPLEMENTAL_DISCOMFORT_CANDIDATE"",""score_band_code"":""NRS_4_6"",""source_path"":""data/normalized/neck_discomfort_alternative_candidates_v2_0_2.json"",""source_relation_key"":""NECK-SUPPLEMENT-0002""}",DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,REVIEW_REQUIRED,false
