alternative_relation_id,source_exercise_stable_code,alternative_exercise_stable_code,source_exercise_id,alternative_exercise_id,source_record_type,alternative_record_type,candidate_origin_code,reason_code,pain_discomfort_area_code,condition_code,pain_score_min,pain_score_max,severity_code,service_action_code,source_load_to_avoid_code,source_load_to_avoid_detail,target_load_reduction_basis_code,source_primary_movement_pattern_code,alternative_primary_movement_pattern_code,source_primary_body_area_codes,source_secondary_body_area_codes,alternative_primary_body_area_codes,alternative_secondary_body_area_codes,source_load_pain_area_overlap,target_pain_area_overlap,target_difficulty_not_higher,source_target_same_family,source_target_same_movement_pattern,variant_relation_overlap,variant_type_code,goal_preservation_code,alternative_strategy_code,allowed_equipment_codes,allowed_location_codes,difficulty_delta,direction_code,directionality_check_code,legacy_relation_identity,legacy_relation_identities,legacy_source_relation_key,legacy_source_relation_keys,evidence_source,evidence_reviewer,evidence_reviewed_at,decision_source_code,decision_reviewer_code,review_decision,area_specific_safety_review_code,area_specific_safety_guard_codes,review_status_code,production_eligible
ALT-LEGACY-77a3157d1baab51d,neck_lateral_stretch_mobility_stretch_bodyweight,ankle_circles_mobility_stretch_bodyweight,REX-000045,REX-000003,REPRESENTATIVE,REPRESENTATIVE,LEGACY_ALTERNATIVE,DISCOMFORT,NECK,NRS_1_3,1,3,MILD,LOAD_REDUCED,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":""NECK"",""source_body_area_codes"":[""NECK"",""SHOULDER""],""source_equipment_codes"":[""BODYWEIGHT""],""source_primary_movement_pattern_code"":""MOBILITY_STRETCH""}",TARGET_EXCLUDES_DISCOMFORT_AREA,MOBILITY_STRETCH,MOBILITY_STRETCH,"[""NECK""]","[""SHOULDER""]","[""ANKLE_FOOT""]","[""KNEE""]",true,false,true,false,true,false,,SAME_GOAL,MILD_AREA_EXCLUDED_LOWER_BURDEN,"[""BODYWEIGHT""]","[""HOME"",""GYM""]",0,A_TO_B,PASS_SOURCE_LOADS_AREA_TARGET_EXCLUDES_AREA,exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|mapping:NECK:NRS_1_3:REX-000045:REX-000003:DISCOMFORT,"[""exercise-catalog-v2.0.2-draft|d2ff054350b7904b3cb99affb6e656a4a30acba82f81d889a98951928aeb725f|mapping:NECK:NRS_1_3:REX-000045:REX-000003:DISCOMFORT""]",mapping:NECK:NRS_1_3:REX-000045:REX-000003:DISCOMFORT,"[""mapping:NECK:NRS_1_3:REX-000045:REX-000003:DISCOMFORT""]",normalized/v2_discomfort_alternative_mapping.csv,DOMAIN_REVIEWER,2026-08-24T00:00:00+09:00,DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,KEEP,NECK_DISTAL_TARGET_CONDITIONALLY_RETAINED,"[""NEUTRAL_HEAD_AND_NECK_REQUIRED"",""DISTAL_LOW_LOAD_TARGET_ONLY"",""STOP_IF_NECK_DISCOMFORT_INCREASES""]",REVIEW_REQUIRED,false
ALT-SUPPLEMENTAL-6abeaa3158f844cd,neck_lateral_stretch_mobility_stretch_bodyweight,bodyweight_standing_calf_raise_isolation_bodyweight,REX-000045,REX-000016,REPRESENTATIVE,REPRESENTATIVE,SUPPLEMENTAL_NECK,DISCOMFORT,NECK,NRS_4_6,4,6,MODERATE,SKIP_AFFECTED_AREA,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":""NECK"",""source_body_area_codes"":[""NECK"",""SHOULDER""],""source_equipment_codes"":[""BODYWEIGHT""],""source_primary_movement_pattern_code"":""MOBILITY_STRETCH""}",TARGET_EXCLUDES_DISCOMFORT_AREA,MOBILITY_STRETCH,ISOLATION,"[""NECK""]","[""SHOULDER""]","[""ANKLE_FOOT""]","[""KNEE""]",true,false,true,false,false,false,,ACTIVE_RECOVERY,MODERATE_AFFECTED_AREA_EXCLUDED_ACTIVE_RECOVERY,"[""BODYWEIGHT""]","[""HOME"",""GYM""]",0,A_TO_B,PASS_SOURCE_LOADS_AREA_TARGET_EXCLUDES_AREA,exercise-catalog-v2.0.2-final|ab1180f4ae30c7d58004157283e63fe794ea0cf5969dd3c0c8ff80f9c9d33362|NECK-SUPPLEMENT-0001,"[""exercise-catalog-v2.0.2-final|ab1180f4ae30c7d58004157283e63fe794ea0cf5969dd3c0c8ff80f9c9d33362|NECK-SUPPLEMENT-0001""]",NECK-SUPPLEMENT-0001,"[""NECK-SUPPLEMENT-0001""]",exercise-catalog-v2.0.2-final/catalog/exercises.jsonl; neck area safety policy v2.0.2,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,KEEP,NECK_DISTAL_TARGET_CONDITIONALLY_RETAINED,"[""NEUTRAL_HEAD_AND_NECK_REQUIRED"",""DISTAL_LOW_LOAD_TARGET_ONLY"",""STOP_IF_NECK_DISCOMFORT_INCREASES""]",REVIEW_REQUIRED,false
ALT-SUPPLEMENTAL-b45c99ef694c99f2,neck_lateral_stretch_mobility_stretch_bodyweight,butterfly_adductor_stretch_mobility_stretch_bodyweight,REX-000045,REX-000017,REPRESENTATIVE,REPRESENTATIVE,SUPPLEMENTAL_NECK,DISCOMFORT,NECK,NRS_4_6,4,6,MODERATE,SKIP_AFFECTED_AREA,PAIN_AREA_INVOLVEMENT_IN_SOURCE_MOVEMENT,"{""discomfort_area_code"":""NECK"",""source_body_area_codes"":[""NECK"",""SHOULDER""],""source_equipment_codes"":[""BODYWEIGHT""],""source_primary_movement_pattern_code"":""MOBILITY_STRETCH""}",TARGET_EXCLUDES_DISCOMFORT_AREA,MOBILITY_STRETCH,MOBILITY_STRETCH,"[""NECK""]","[""SHOULDER""]","[""HIP""]","[""KNEE""]",true,false,true,false,true,false,,ACTIVE_RECOVERY,MODERATE_AFFECTED_AREA_EXCLUDED_ACTIVE_RECOVERY,"[""BODYWEIGHT""]","[""HOME"",""GYM""]",0,A_TO_B,PASS_SOURCE_LOADS_AREA_TARGET_EXCLUDES_AREA,exercise-catalog-v2.0.2-final|ab1180f4ae30c7d58004157283e63fe794ea0cf5969dd3c0c8ff80f9c9d33362|NECK-SUPPLEMENT-0002,"[""exercise-catalog-v2.0.2-final|ab1180f4ae30c7d58004157283e63fe794ea0cf5969dd3c0c8ff80f9c9d33362|NECK-SUPPLEMENT-0002""]",NECK-SUPPLEMENT-0002,"[""NECK-SUPPLEMENT-0002""]",exercise-catalog-v2.0.2-final/catalog/exercises.jsonl; neck area safety policy v2.0.2,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DETERMINISTIC_POLICY_V2_0_2,DATA_REVIEW_PIPELINE,KEEP,NECK_DISTAL_TARGET_CONDITIONALLY_RETAINED,"[""NEUTRAL_HEAD_AND_NECK_REQUIRED"",""DISTAL_LOW_LOAD_TARGET_ONLY"",""STOP_IF_NECK_DISCOMFORT_INCREASES""]",REVIEW_REQUIRED,false
