exercise_id,exercise_name_ko,name_en,source_name_en,training_type_code,body_focus_code,primary_body_area_codes,secondary_body_area_codes,target_body_area_codes,difficulty_code,timing_mode_code,default_sets,default_reps,default_work_seconds,default_rest_seconds,default_transition_seconds,intensity_level,production_status
NEX-000001,바벨 데드리프트,barbell deadlift,barbell deadlift,STRENGTH,GLUTES,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""HIP"",""KNEE"",""LOWER_BACK""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000002,바벨 디클라인 벤트 암 풀오버,barbell decline bent arm pullover,barbell decline bent arm pullover,STRENGTH,BACK,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]","[""UPPER_BACK"",""CHEST"",""ELBOW""]",INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000003,바벨 디클라인 와이드그립 풀오버,barbell decline wide-grip pullover,barbell decline wide-grip pullover,STRENGTH,BACK,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]","[""UPPER_BACK"",""CHEST"",""ELBOW""]",INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000004,바벨 프론트 레이즈,barbell front raise,barbell front raise,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000005,바벨 풀오버,barbell pullover,barbell pullover,STRENGTH,BACK,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]","[""UPPER_BACK"",""CHEST"",""ELBOW""]",INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000006,바벨 리버스 리스트 컬,barbell reverse wrist curl,barbell reverse wrist curl,STRENGTH,FOREARMS,"[""WRIST_HAND""]","[""ELBOW""]","[""WRIST_HAND"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000007,바벨 시티드 카프 레이즈,barbell seated calf raise,barbell seated calf raise,STRENGTH,CALVES,"[""ANKLE_FOOT""]","[""KNEE""]","[""ANKLE_FOOT"",""KNEE""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000008,바벨 스탠딩 오버헤드 삼두 익스텐션,barbell standing overhead triceps extension,barbell standing overhead triceps extension,STRENGTH,TRICEPS,"[""ELBOW""]","[""SHOULDER""]","[""ELBOW"",""SHOULDER""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000009,바벨 스트레이트 레그 데드리프트,barbell straight leg deadlift,barbell straight leg deadlift,STRENGTH,HAMSTRINGS,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""HIP"",""KNEE"",""LOWER_BACK""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000010,바벨 리스트 컬,barbell wrist curl,barbell wrist curl,STRENGTH,FOREARMS,"[""WRIST_HAND""]","[""ELBOW""]","[""WRIST_HAND"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
