exercise_id,exercise_name_ko,name_en,source_name_en,training_type_code,body_focus_code,primary_body_area_codes,secondary_body_area_codes,target_body_area_codes,difficulty_code,timing_mode_code,default_sets,default_reps,default_work_seconds,default_rest_seconds,default_transition_seconds,intensity_level,production_status
NEX-000011,이두 풀업,biceps pull-up,biceps pull-up,STRENGTH,BICEPS,"[""ELBOW""]","[""UPPER_BACK"",""WRIST_HAND""]","[""ELBOW"",""UPPER_BACK"",""WRIST_HAND""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000012,케이블 디클라인 플라이,cable decline fly,cable decline fly,STRENGTH,CHEST,"[""CHEST""]","[""SHOULDER""]","[""CHEST"",""SHOULDER""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000013,케이블 디클라인 시티드 와이드그립 로우,cable decline seated wide-grip row,cable decline seated wide-grip row,STRENGTH,BACK,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]","[""UPPER_BACK"",""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000014,케이블 바닥 시티드 와이드그립 로우,cable floor seated wide-grip row,cable floor seated wide-grip row,STRENGTH,BACK,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]","[""UPPER_BACK"",""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000015,케이블 하이 로우(니링),cable high row (kneeling),cable high row (kneeling),STRENGTH,BACK,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]","[""UPPER_BACK"",""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000016,케이블 인클라인 플라이(메디신볼),cable incline fly (on stability ball),cable incline fly (on stability ball),STRENGTH,CHEST,"[""CHEST"",""SHOULDER""]","[""ABDOMEN""]","[""CHEST"",""SHOULDER"",""ABDOMEN""]",INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000017,케이블 인클라인 플라이,cable incline fly,cable incline fly,STRENGTH,CHEST,"[""CHEST""]","[""SHOULDER""]","[""CHEST"",""SHOULDER""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000018,케이블 라잉 익스텐션 풀오버,cable lying extension pullover (with rope attachment),cable lying extension pullover (with rope attachment),STRENGTH,BACK,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]","[""UPPER_BACK"",""CHEST"",""ELBOW""]",INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000019,케이블 라잉 플라이,cable lying fly,cable lying fly,STRENGTH,CHEST,"[""CHEST""]","[""SHOULDER""]","[""CHEST"",""SHOULDER""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000020,케이블 풀다운,cable pulldown,cable pulldown,STRENGTH,BACK,"[""UPPER_BACK""]","[""ELBOW"",""SHOULDER""]","[""UPPER_BACK"",""ELBOW"",""SHOULDER""]",BEGINNER,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000021,케이블 푸시다운,cable pushdown,cable pushdown,STRENGTH,TRICEPS,"[""ELBOW""]","[""SHOULDER""]","[""ELBOW"",""SHOULDER""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000022,케이블 리버스-그립 스트레이트 등 시티드 하이 로우,cable reverse-grip straight back seated high row,cable reverse-grip straight back seated high row,STRENGTH,BACK,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]","[""UPPER_BACK"",""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000023,케이블 러시안 트위스트(메디신볼),cable russian twists (on stability ball),cable russian twists (on stability ball),STRENGTH,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN"",""LOWER_BACK""]",INTERMEDIATE,DURATION,2-3,,30-45,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000024,케이블 시티드 와이드그립 로우,cable seated wide-grip row,cable seated wide-grip row,STRENGTH,BACK,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]","[""UPPER_BACK"",""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000025,케이블 슈러그,cable shrug,cable shrug,STRENGTH,BACK,"[""UPPER_BACK""]","[""SHOULDER""]","[""UPPER_BACK"",""SHOULDER""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000026,케이블 스탠딩 플라이,cable standing fly,cable standing fly,STRENGTH,CHEST,"[""CHEST""]","[""SHOULDER""]","[""CHEST"",""SHOULDER""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000027,케이블 턱 리버스 크런치,cable tuck reverse crunch,cable tuck reverse crunch,STRENGTH,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN"",""LOWER_BACK""]",INTERMEDIATE,DURATION,2-3,,30-45,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000028,클로즈그립 푸시업,close-grip push-up,close-grip push-up,STRENGTH,TRICEPS,"[""ELBOW"",""CHEST""]","[""SHOULDER"",""ABDOMEN""]","[""ELBOW"",""CHEST"",""SHOULDER"",""ABDOMEN""]",BEGINNER,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000029,크런치 바닥,crunch floor,crunch floor,STRENGTH,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN"",""LOWER_BACK""]",BEGINNER,DURATION,2-3,,30-45,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000030,데드 버그,dead bug,dead bug,STRENGTH,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN"",""LOWER_BACK""]",BEGINNER,DURATION,2-3,,30-45,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000031,디클라인 크런치,decline crunch,decline crunch,STRENGTH,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN"",""LOWER_BACK""]",INTERMEDIATE,DURATION,2-3,,30-45,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000032,덤벨 데드리프트,dumbbell deadlift,dumbbell deadlift,STRENGTH,GLUTES,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""HIP"",""KNEE"",""LOWER_BACK""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000033,덤벨 디클라인 슈러그,dumbbell decline shrug v. 2,dumbbell decline shrug v. 2,STRENGTH,BACK,"[""UPPER_BACK""]","[""SHOULDER""]","[""UPPER_BACK"",""SHOULDER""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000034,덤벨 디클라인 슈러그,dumbbell decline shrug,dumbbell decline shrug,STRENGTH,BACK,"[""UPPER_BACK""]","[""SHOULDER""]","[""UPPER_BACK"",""SHOULDER""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000035,덤벨 프론트 레이즈,dumbbell front raise v. 2,dumbbell front raise v. 2,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000036,덤벨 프론트 레이즈,dumbbell front raise,dumbbell front raise,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000037,덤벨 인클라인 리어 레터럴 레이즈,dumbbell incline rear lateral raise,dumbbell incline rear lateral raise,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""UPPER_BACK""]","[""SHOULDER"",""UPPER_BACK""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000038,덤벨 인클라인 슈러그,dumbbell incline shrug,dumbbell incline shrug,STRENGTH,BACK,"[""UPPER_BACK""]","[""SHOULDER""]","[""UPPER_BACK"",""SHOULDER""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000039,덤벨 레터럴 레이즈,dumbbell lateral raise,dumbbell lateral raise,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000040,덤벨 레터럴 투 프론트 레이즈,dumbbell lateral to front raise,dumbbell lateral to front raise,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000041,덤벨 런지,dumbbell lunge,dumbbell lunge,STRENGTH,GLUTES,"[""HIP"",""KNEE""]","[""ANKLE_FOOT""]","[""HIP"",""KNEE"",""ANKLE_FOOT""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000042,덤벨 라잉 리어 레터럴 레이즈,dumbbell lying rear lateral raise,dumbbell lying rear lateral raise,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""UPPER_BACK""]","[""SHOULDER"",""UPPER_BACK""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000043,원암 덤벨 숄더 프레스,dumbbell one arm shoulder press v. 2,dumbbell one arm shoulder press v. 2,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000044,원암 덤벨 숄더 프레스,dumbbell one arm shoulder press,dumbbell one arm shoulder press,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000045,덤벨 오버 벤치 리버스 리스트 컬,dumbbell over bench revers wrist curl,dumbbell over bench revers wrist curl,STRENGTH,FOREARMS,"[""WRIST_HAND""]","[""ELBOW""]","[""WRIST_HAND"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000046,덤벨 오버 벤치 리스트 컬,dumbbell over bench wrist curl,dumbbell over bench wrist curl,STRENGTH,FOREARMS,"[""WRIST_HAND""]","[""ELBOW""]","[""WRIST_HAND"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000047,덤벨 프리처 컬,dumbbell preacher curl,dumbbell preacher curl,STRENGTH,BICEPS,"[""ELBOW""]","[""WRIST_HAND""]","[""ELBOW"",""WRIST_HAND""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000048,덤벨 리어 플라이,dumbbell rear fly,dumbbell rear fly,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""UPPER_BACK""]","[""SHOULDER"",""UPPER_BACK""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000049,덤벨 레터럴 레이즈,dumbbell rear lateral raise (support head),dumbbell rear lateral raise (support head),STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000050,덤벨 레터럴 레이즈,dumbbell rear lateral raise,dumbbell rear lateral raise,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000051,덤벨 런지,dumbbell rear lunge,dumbbell rear lunge,STRENGTH,GLUTES,"[""HIP"",""KNEE""]","[""ANKLE_FOOT""]","[""HIP"",""KNEE"",""ANKLE_FOOT""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000052,덤벨 리버스 리스트 컬,dumbbell reverse wrist curl,dumbbell reverse wrist curl,STRENGTH,FOREARMS,"[""WRIST_HAND""]","[""ELBOW""]","[""WRIST_HAND"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000053,덤벨 시티드 교대 프론트 레이즈,dumbbell seated alternate front raise,dumbbell seated alternate front raise,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000054,덤벨 시티드 프리처 컬,dumbbell seated preacher curl,dumbbell seated preacher curl,STRENGTH,BICEPS,"[""ELBOW""]","[""WRIST_HAND""]","[""ELBOW"",""WRIST_HAND""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000055,덤벨 시티드 숄더 프레스,dumbbell seated shoulder press (parallel grip),dumbbell seated shoulder press (parallel grip),STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000056,덤벨 시티드 숄더 프레스,dumbbell seated shoulder press,dumbbell seated shoulder press,STRENGTH,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""SHOULDER"",""ELBOW""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000057,덤벨 슈러그,dumbbell shrug,dumbbell shrug,STRENGTH,BACK,"[""UPPER_BACK""]","[""SHOULDER""]","[""UPPER_BACK"",""SHOULDER""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000058,덤벨 싱글 레그 카프 레이즈,dumbbell single leg calf raise,dumbbell single leg calf raise,STRENGTH,CALVES,"[""ANKLE_FOOT""]","[""KNEE""]","[""ANKLE_FOOT"",""KNEE""]",INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000059,덤벨 스탠딩 이두 컬,dumbbell standing biceps curl,dumbbell standing biceps curl,STRENGTH,BICEPS,"[""ELBOW""]","[""WRIST_HAND""]","[""ELBOW"",""WRIST_HAND""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000060,덤벨 스탠딩 프리처 컬,dumbbell standing preacher curl,dumbbell standing preacher curl,STRENGTH,BICEPS,"[""ELBOW""]","[""WRIST_HAND""]","[""ELBOW"",""WRIST_HAND""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000061,덤벨 스티프 레그 데드리프트,dumbbell stiff leg deadlift,dumbbell stiff leg deadlift,STRENGTH,GLUTES,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""HIP"",""KNEE"",""LOWER_BACK""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000062,덤벨 스트레이트 레그 데드리프트,dumbbell straight leg deadlift,dumbbell straight leg deadlift,STRENGTH,GLUTES,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""HIP"",""KNEE"",""LOWER_BACK""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000063,트위스트 플랭크,front plank with twist,front plank with twist,STRENGTH,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN"",""LOWER_BACK""]",INTERMEDIATE,DURATION,2-3,,30-45,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000064,백익스텐션,hyperextension,hyperextension,STRENGTH,BACK,"[""LOWER_BACK""]","[""HIP"",""UPPER_BACK""]","[""LOWER_BACK"",""HIP"",""UPPER_BACK""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000065,인버스 레그 컬,inverse leg curl (bench support),inverse leg curl (bench support),STRENGTH,HAMSTRINGS,"[""KNEE""]","[""HIP""]","[""KNEE"",""HIP""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000066,인버티드 로우(스트랩),inverted row with straps,inverted row with straps,STRENGTH,BACK,"[""UPPER_BACK""]","[""ELBOW"",""SHOULDER""]","[""UPPER_BACK"",""ELBOW"",""SHOULDER""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000067,인버티드 로우,inverted row,inverted row,STRENGTH,BACK,"[""UPPER_BACK""]","[""ELBOW"",""SHOULDER""]","[""UPPER_BACK"",""ELBOW"",""SHOULDER""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000068,케틀벨 런지,kettlebell lunge pass through,kettlebell lunge pass through,STRENGTH,GLUTES,"[""HIP"",""KNEE""]","[""ANKLE_FOOT""]","[""HIP"",""KNEE"",""ANKLE_FOOT""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000069,레그 익스텐션,lever leg extension,lever leg extension,STRENGTH,QUADRICEPS,"[""KNEE""]","[""HIP""]","[""KNEE"",""HIP""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000070,시티드 카프 레이즈,lever seated calf raise,lever seated calf raise,STRENGTH,CALVES,"[""ANKLE_FOOT""]","[""KNEE""]","[""ANKLE_FOOT"",""KNEE""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000071,시티드 레그 컬,lever seated leg curl,lever seated leg curl,STRENGTH,HAMSTRINGS,"[""KNEE""]","[""HIP""]","[""KNEE"",""HIP""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000072,라잉 사이드 대퇴사두 스트레칭,lying (side) quads stretch,lying (side) quads stretch,MOBILITY,MOBILITY,"[""KNEE""]","[""HIP""]","[""KNEE"",""HIP""]",BEGINNER,DURATION,,,30-60,,15-30,LIGHT,REVIEW_REQUIRED
NEX-000073,오버헤드 삼두 스트레칭,overhead triceps stretch,overhead triceps stretch,MOBILITY,MOBILITY,"[""ELBOW""]","[""SHOULDER"",""WRIST_HAND""]","[""ELBOW"",""SHOULDER"",""WRIST_HAND""]",BEGINNER,DURATION,,,30-60,,15-30,LIGHT,REVIEW_REQUIRED
NEX-000074,푸시업,push-up,push-up,STRENGTH,CHEST,"[""CHEST""]","[""SHOULDER"",""ELBOW""]","[""CHEST"",""SHOULDER"",""ELBOW""]",BEGINNER,REPS,2,8-15,,60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000075,리어 델토이드 스트레칭,rear deltoid stretch,rear deltoid stretch,MOBILITY,MOBILITY,"[""SHOULDER""]","[""UPPER_BACK""]","[""SHOULDER"",""UPPER_BACK""]",BEGINNER,DURATION,,,30-60,,15-30,LIGHT,REVIEW_REQUIRED
NEX-000076,달리기,run,run,CARDIO,CARDIO,"[""ANKLE_FOOT"",""KNEE""]","[""HIP""]","[""ANKLE_FOOT"",""KNEE"",""HIP""]",BEGINNER,DURATION,,,1200-2400,,,MODERATE,REVIEW_REQUIRED
NEX-000077,러시안 트위스트,russian twist,russian twist,STRENGTH,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN"",""LOWER_BACK""]",INTERMEDIATE,DURATION,2-3,,30-45,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000078,견갑 풀업,scapular pull-up,scapular pull-up,STRENGTH,BACK,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]","[""UPPER_BACK"",""SHOULDER"",""ELBOW""]",INTERMEDIATE,REPS,3,8-12,,90,,MODERATE,REVIEW_REQUIRED
NEX-000079,앉아서 허리 스트레칭,seated lower back stretch,seated lower back stretch,MOBILITY,MOBILITY,"[""LOWER_BACK""]","[""UPPER_BACK"",""ABDOMEN""]","[""LOWER_BACK"",""UPPER_BACK"",""ABDOMEN""]",BEGINNER,DURATION,,,30-60,,15-30,LIGHT,REVIEW_REQUIRED
NEX-000080,사이드 크런치(벽),seated side crunch (wall),seated side crunch (wall),STRENGTH,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN"",""LOWER_BACK""]",BEGINNER,DURATION,2-3,,30-45,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000081,인버스 레그 컬(바닥),self assisted inverse leg curl (on floor),self assisted inverse leg curl (on floor),STRENGTH,HAMSTRINGS,"[""KNEE""]","[""HIP""]","[""KNEE"",""HIP""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000082,인버스 레그 컬,self assisted inverse leg curl,self assisted inverse leg curl,STRENGTH,HAMSTRINGS,"[""KNEE""]","[""HIP""]","[""KNEE"",""HIP""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000083,사이드 푸시 목 스트레칭,side push neck stretch,side push neck stretch,MOBILITY,MOBILITY,"[""NECK""]","[""SHOULDER""]","[""NECK"",""SHOULDER""]",BEGINNER,DURATION,,,30-60,,15-30,LIGHT,REVIEW_REQUIRED
NEX-000084,사이드 리스트 풀 스트레칭,side wrist pull stretch,side wrist pull stretch,MOBILITY,MOBILITY,"[""WRIST_HAND""]","[""ELBOW""]","[""WRIST_HAND"",""ELBOW""]",BEGINNER,DURATION,,,30-60,,15-30,LIGHT,REVIEW_REQUIRED
NEX-000085,스미스 리버스 카프 레이즈,smith reverse calf raises,smith reverse calf raises,STRENGTH,CALVES,"[""ANKLE_FOOT""]","[""KNEE""]","[""ANKLE_FOOT"",""KNEE""]",INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000086,레터럴 스트레칭,standing lateral stretch,standing lateral stretch,MOBILITY,MOBILITY,"[""UPPER_BACK""]","[""LOWER_BACK"",""ABDOMEN""]","[""UPPER_BACK"",""LOWER_BACK"",""ABDOMEN""]",BEGINNER,DURATION,,,30-60,,15-30,LIGHT,REVIEW_REQUIRED
NEX-000087,싱글 레그 컬,standing single leg curl,standing single leg curl,STRENGTH,HAMSTRINGS,"[""KNEE""]","[""HIP""]","[""KNEE"",""HIP""]",INTERMEDIATE,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
NEX-000088,서스펜디드 리버스 크런치,suspended reverse crunch,suspended reverse crunch,STRENGTH,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN"",""LOWER_BACK""]",INTERMEDIATE,DURATION,2-3,,30-45,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000089,삼두 스트레칭,triceps stretch,triceps stretch,MOBILITY,MOBILITY,"[""ELBOW""]","[""SHOULDER"",""WRIST_HAND""]","[""ELBOW"",""SHOULDER"",""WRIST_HAND""]",BEGINNER,DURATION,,,30-60,,15-30,LIGHT,REVIEW_REQUIRED
NEX-000090,중량 러시안 트위스트(레그 업),weighted russian twist (legs up),weighted russian twist (legs up),STRENGTH,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN"",""LOWER_BACK""]",INTERMEDIATE,DURATION,2-3,,30-45,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000091,중량 러시안 트위스트(바닥 터치),weighted russian twist,weighted russian twist,STRENGTH,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""ABDOMEN"",""LOWER_BACK""]",INTERMEDIATE,DURATION,2-3,,30-45,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED
NEX-000092,중량 스탠딩 손 스퀴즈,weighted standing hand squeeze,weighted standing hand squeeze,STRENGTH,FOREARMS,"[""WRIST_HAND""]","[""ELBOW""]","[""WRIST_HAND"",""ELBOW""]",BEGINNER,REPS,3,10-15,,60-90,,MODERATE,REVIEW_REQUIRED
