exercise_id,exercise_name,body_focus_code,proposed_body_focus_code,mapping_basis,mapping_status,reviewer,reviewed_at
NEX-000001,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000002,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000003,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000004,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000005,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000006,integrated-catalog,FOREARMS,,target=forearms,REVIEW_REQUIRED,,
NEX-000007,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000008,integrated-catalog,TRICEPS,,target=triceps,REVIEW_REQUIRED,,
NEX-000009,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000010,integrated-catalog,FOREARMS,,target=forearms,REVIEW_REQUIRED,,
NEX-000011,integrated-catalog,BICEPS,,target=biceps,REVIEW_REQUIRED,,
NEX-000012,integrated-catalog,CHEST,,target=pectorals,REVIEW_REQUIRED,,
NEX-000013,integrated-catalog,BACK,,target=upper-back,REVIEW_REQUIRED,,
NEX-000014,integrated-catalog,BACK,,target=upper-back,REVIEW_REQUIRED,,
NEX-000015,integrated-catalog,BACK,,target=upper-back,REVIEW_REQUIRED,,
NEX-000016,integrated-catalog,CHEST,,target=pectorals,REVIEW_REQUIRED,,
NEX-000017,integrated-catalog,CHEST,,target=pectorals,REVIEW_REQUIRED,,
NEX-000018,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000019,integrated-catalog,CHEST,,target=pectorals,REVIEW_REQUIRED,,
NEX-000020,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000021,integrated-catalog,TRICEPS,,target=triceps,REVIEW_REQUIRED,,
NEX-000022,integrated-catalog,BACK,,target=upper-back,REVIEW_REQUIRED,,
NEX-000023,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000024,integrated-catalog,BACK,,target=upper-back,REVIEW_REQUIRED,,
NEX-000025,integrated-catalog,BACK,,target=traps,REVIEW_REQUIRED,,
NEX-000026,integrated-catalog,CHEST,,target=pectorals,REVIEW_REQUIRED,,
NEX-000027,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000028,integrated-catalog,TRICEPS,,target=triceps,REVIEW_REQUIRED,,
NEX-000029,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000030,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000031,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000032,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000033,integrated-catalog,BACK,,target=traps,REVIEW_REQUIRED,,
NEX-000034,integrated-catalog,BACK,,target=traps,REVIEW_REQUIRED,,
NEX-000035,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000036,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000037,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000038,integrated-catalog,BACK,,target=traps,REVIEW_REQUIRED,,
NEX-000039,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000040,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000041,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000042,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000043,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000044,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000045,integrated-catalog,FOREARMS,,target=forearms,REVIEW_REQUIRED,,
NEX-000046,integrated-catalog,FOREARMS,,target=forearms,REVIEW_REQUIRED,,
NEX-000047,integrated-catalog,BICEPS,,target=biceps,REVIEW_REQUIRED,,
NEX-000048,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000049,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000050,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000051,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000052,integrated-catalog,FOREARMS,,target=forearms,REVIEW_REQUIRED,,
NEX-000053,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000054,integrated-catalog,BICEPS,,target=biceps,REVIEW_REQUIRED,,
NEX-000055,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000056,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000057,integrated-catalog,BACK,,target=traps,REVIEW_REQUIRED,,
NEX-000058,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000059,integrated-catalog,BICEPS,,target=biceps,REVIEW_REQUIRED,,
NEX-000060,integrated-catalog,BICEPS,,target=biceps,REVIEW_REQUIRED,,
NEX-000061,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000062,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000063,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000064,integrated-catalog,BACK,,target=spine,REVIEW_REQUIRED,,
NEX-000065,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000066,integrated-catalog,BACK,,target=upper-back,REVIEW_REQUIRED,,
NEX-000067,integrated-catalog,BACK,,target=upper-back,REVIEW_REQUIRED,,
NEX-000068,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000069,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000070,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000071,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000072,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000073,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000074,integrated-catalog,CHEST,,target=pectorals,REVIEW_REQUIRED,,
NEX-000075,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000076,integrated-catalog,CARDIO,,training_type_code_candidate=CARDIO,REVIEW_REQUIRED,,
NEX-000077,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000078,integrated-catalog,BACK,,target=traps,REVIEW_REQUIRED,,
