exercise_id,exercise_name,body_focus_code,proposed_body_focus_code,mapping_basis,mapping_status,reviewer,reviewed_at
NEX-000079,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000080,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000081,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000082,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000083,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000084,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000085,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000086,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000087,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000088,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000089,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000090,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000091,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000092,integrated-catalog,FOREARMS,,target=forearms,REVIEW_REQUIRED,,
NEX-000093,integrated-catalog,BACK,,target=upper-back,REVIEW_REQUIRED,,
NEX-000094,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000095,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000096,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000097,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000098,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000099,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000100,integrated-catalog,FOREARMS,,target=forearms,REVIEW_REQUIRED,,
NEX-000101,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000102,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000103,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000104,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000105,integrated-catalog,FOREARMS,,target=forearms,REVIEW_REQUIRED,,
NEX-000106,integrated-catalog,BACK,,target=traps,REVIEW_REQUIRED,,
NEX-000107,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000108,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000109,integrated-catalog,CHEST,,target=pectorals,REVIEW_REQUIRED,,
NEX-000110,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000111,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000112,integrated-catalog,BACK,,target=spine,REVIEW_REQUIRED,,
NEX-000113,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000114,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000115,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000116,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000117,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000118,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000119,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000120,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000121,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000122,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000123,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000124,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000125,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000126,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000127,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000128,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000129,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000130,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000131,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000132,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000133,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000134,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000135,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000136,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000137,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000138,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000139,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000140,integrated-catalog,BICEPS,,target=biceps,REVIEW_REQUIRED,,
NEX-000141,integrated-catalog,BICEPS,,target=biceps,REVIEW_REQUIRED,,
NEX-000142,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000143,integrated-catalog,CARDIO,,training_type_code_candidate=CARDIO,REVIEW_REQUIRED,,
NEX-000144,integrated-catalog,CARDIO,,training_type_code_candidate=CARDIO,REVIEW_REQUIRED,,
NEX-000145,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000146,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000147,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000148,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000149,integrated-catalog,BICEPS,,target=biceps,REVIEW_REQUIRED,,
NEX-000150,integrated-catalog,BACK,,target=upper-back,REVIEW_REQUIRED,,
NEX-000151,integrated-catalog,CARDIO,,training_type_code_candidate=CARDIO,REVIEW_REQUIRED,,
NEX-000152,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000153,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000154,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000155,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000156,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000157,integrated-catalog,MOBILITY,,training_type_code_candidate=MOBILITY,REVIEW_REQUIRED,,
NEX-000158,integrated-catalog,CARDIO,,training_type_code_candidate=CARDIO,REVIEW_REQUIRED,,
NEX-000159,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000160,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000161,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000162,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000163,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000164,integrated-catalog,CARDIO,,training_type_code_candidate=CARDIO,REVIEW_REQUIRED,,
NEX-000165,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000166,integrated-catalog,BACK,,target=upper-back,REVIEW_REQUIRED,,
NEX-000167,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000168,integrated-catalog,CARDIO,,training_type_code_candidate=CARDIO,REVIEW_REQUIRED,,
NEX-000169,integrated-catalog,CARDIO,,training_type_code_candidate=CARDIO,REVIEW_REQUIRED,,
NEX-000170,integrated-catalog,CARDIO,,training_type_code_candidate=CARDIO,REVIEW_REQUIRED,,
NEX-000171,integrated-catalog,CARDIO,,training_type_code_candidate=CARDIO,REVIEW_REQUIRED,,
NEX-000172,integrated-catalog,CARDIO,,training_type_code_candidate=CARDIO,REVIEW_REQUIRED,,
NEX-000173,integrated-catalog,GLUTES,GLUTES,target=glutes;source-target-conflict,REVIEW_REQUIRED,,
NEX-000174,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000175,integrated-catalog,QUADRICEPS,QUADRICEPS,target=quads;source-target-conflict,REVIEW_REQUIRED,,
NEX-000176,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000177,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000178,integrated-catalog,BACK,,target=upper-back,REVIEW_REQUIRED,,
NEX-000179,integrated-catalog,CORE,CORE,movement_pattern=CORE_BRACE;source-target-conflict,REVIEW_REQUIRED,,
NEX-000180,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000181,integrated-catalog,QUADRICEPS,QUADRICEPS,target=quads;source-target-conflict,REVIEW_REQUIRED,,
NEX-000182,integrated-catalog,CHEST,,target=pectorals,REVIEW_REQUIRED,,
NEX-000183,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000184,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000185,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000186,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000187,integrated-catalog,CORE,,target=abs,REVIEW_REQUIRED,,
NEX-000188,integrated-catalog,CALVES,,target=calves,REVIEW_REQUIRED,,
NEX-000189,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000190,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000191,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000192,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
NEX-000193,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000194,integrated-catalog,CHEST,,target=pectorals,REVIEW_REQUIRED,,
NEX-000195,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000196,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000197,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000198,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000199,integrated-catalog,BACK,,target=lats,REVIEW_REQUIRED,,
NEX-000200,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000201,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000202,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000203,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000204,integrated-catalog,QUADRICEPS,,target=quads,REVIEW_REQUIRED,,
NEX-000205,integrated-catalog,HAMSTRINGS,,target=hamstrings,REVIEW_REQUIRED,,
NEX-000206,integrated-catalog,CHEST,,target=pectorals,REVIEW_REQUIRED,,
NEX-000207,integrated-catalog,SHOULDERS,,target=delts,REVIEW_REQUIRED,,
NEX-000208,integrated-catalog,GLUTES,,target=glutes,REVIEW_REQUIRED,,
