exercise_id,exercise_name,representative_id,met_value,intensity_level,met_source,source_activity_name,mapping_basis,review_status,production_eligible
NEX-000011,biceps pull-up,REX-000012,6.5,VIGOROUS,ADULT_COMPENDIUM_2024;activity_code=02057;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Body weight resistance exercises, high intensity",USER_APPROVED_DIRECT_COMPENDIUM_02057_BODYWEIGHT_HIGH_INTENSITY,DOMAIN_APPROVED,true
NEX-000012,cable decline fly,REX-000018,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000013,cable decline seated wide-grip row,REX-000079,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000014,cable floor seated wide-grip row,REX-000079,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000015,cable high row (kneeling),REX-000079,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000016,cable incline fly (on stability ball),REX-000018,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000017,cable incline fly,REX-000018,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000018,cable lying extension pullover (with rope attachment),REX-000006,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_NO_DIRECT_MATCH_PROXY_COMPENDIUM_02052,DOMAIN_APPROVED,true
NEX-000019,cable lying fly,REX-000018,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000020,cable pulldown,REX-000040,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000021,cable pushdown,REX-000019,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_NO_DIRECT_MATCH_PROXY_COMPENDIUM_02052,DOMAIN_APPROVED,true
NEX-000022,cable reverse-grip straight back seated high row,REX-000079,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000023,cable russian twists (on stability ball),REX-000014,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_NO_DIRECT_MATCH_PROXY_COMPENDIUM_02052,DOMAIN_APPROVED,true
NEX-000024,cable seated wide-grip row,REX-000079,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000025,cable shrug,REX-000029,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_NO_DIRECT_MATCH_PROXY_COMPENDIUM_02052,DOMAIN_APPROVED,true
NEX-000026,cable standing fly,REX-000018,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000027,cable tuck reverse crunch,REX-000013,3.8,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02022;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Calisthenics, moderate effort",USER_APPROVED_DIRECT_COMPENDIUM_02022_CONSERVATIVE,DOMAIN_APPROVED,true
NEX-000028,close-grip push-up,REX-000022,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000029,crunch floor,REX-000009,3,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02056;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Body weight resistance exercises, general",USER_APPROVED_DIRECT_COMPENDIUM_02056_GENERAL_BODYWEIGHT,DOMAIN_APPROVED,true
NEX-000030,dead bug,REX-000024,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_NO_DIRECT_MATCH_PROXY_COMPENDIUM_02052,DOMAIN_APPROVED,true
NEX-000031,decline crunch,REX-000009,3.8,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02022;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Calisthenics, moderate effort",USER_APPROVED_DIRECT_COMPENDIUM_02022_CONSERVATIVE,DOMAIN_APPROVED,true
NEX-000032,dumbbell deadlift,REX-000004,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000033,dumbbell decline shrug v. 2,REX-000029,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_NO_DIRECT_MATCH_PROXY_COMPENDIUM_02054,DOMAIN_APPROVED,true
NEX-000034,dumbbell decline shrug,REX-000029,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_NO_DIRECT_MATCH_PROXY_COMPENDIUM_02054,DOMAIN_APPROVED,true
NEX-000035,dumbbell front raise v. 2,REX-000005,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000036,dumbbell front raise,REX-000005,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000037,dumbbell incline rear lateral raise,REX-000028,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000038,dumbbell incline shrug,REX-000029,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_NO_DIRECT_MATCH_PROXY_COMPENDIUM_02054,DOMAIN_APPROVED,true
NEX-000039,dumbbell lateral raise,REX-000026,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000040,dumbbell lateral to front raise,REX-000005,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000041,dumbbell lunge,REX-000010,3.8,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02022;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Calisthenics, moderate effort",USER_APPROVED_DIRECT_COMPENDIUM_02022_CONSERVATIVE,DOMAIN_APPROVED,true
NEX-000042,dumbbell lying rear lateral raise,REX-000028,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000043,dumbbell one arm shoulder press v. 2,REX-000086,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000044,dumbbell one arm shoulder press,REX-000086,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000045,dumbbell over bench revers wrist curl,REX-000055,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000046,dumbbell over bench wrist curl,REX-000102,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000047,dumbbell preacher curl,REX-000027,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000048,dumbbell rear fly,REX-000028,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000049,dumbbell rear lateral raise (support head),REX-000028,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000050,dumbbell rear lateral raise,REX-000028,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000051,dumbbell rear lunge,REX-000010,3.8,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02022;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Calisthenics, moderate effort",USER_APPROVED_DIRECT_COMPENDIUM_02022_CONSERVATIVE,DOMAIN_APPROVED,true
NEX-000052,dumbbell reverse wrist curl,REX-000055,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000053,dumbbell seated alternate front raise,REX-000005,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000054,dumbbell seated preacher curl,REX-000027,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000055,dumbbell seated shoulder press (parallel grip),REX-000086,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000056,dumbbell seated shoulder press,REX-000086,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000057,dumbbell shrug,REX-000029,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_NO_DIRECT_MATCH_PROXY_COMPENDIUM_02054,DOMAIN_APPROVED,true
NEX-000058,dumbbell single leg calf raise,REX-000016,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000059,dumbbell standing biceps curl,REX-000030,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000060,dumbbell standing preacher curl,REX-000027,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000061,dumbbell stiff leg deadlift,REX-000007,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000062,dumbbell straight leg deadlift,REX-000007,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, squats, deadlift, slow or explosive effort",USER_APPROVED_COMPENDIUM_02052_MODERATE_RESISTANCE,DOMAIN_APPROVED,true
NEX-000063,front plank with twist,REX-000051,3.8,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02022;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Calisthenics, moderate effort",USER_APPROVED_DIRECT_COMPENDIUM_02022_CONSERVATIVE,DOMAIN_APPROVED,true
