exercise_id,exercise_name,representative_id,met_value,intensity_level,met_source,source_activity_name,mapping_basis,review_status,production_eligible
NEX-000001,barbell deadlift,REX-000004,6,VIGOROUS,ADULT_COMPENDIUM_2024;activity_code=02050;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight lifting - free weight, nautilus or universal-type), vigorous effort",USER_APPROVED_COMPENDIUM_02050_VIGOROUS_RESISTANCE,DOMAIN_APPROVED,true
NEX-000002,barbell decline bent arm pullover,REX-000006,3.5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_PROVISIONAL_ESTIMATE,DOMAIN_APPROVED,true
NEX-000003,barbell decline wide-grip pullover,REX-000006,3.5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_PROVISIONAL_ESTIMATE,DOMAIN_APPROVED,true
NEX-000004,barbell front raise,REX-000005,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000005,barbell pullover,REX-000006,3.5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_PROVISIONAL_ESTIMATE,DOMAIN_APPROVED,true
NEX-000006,barbell reverse wrist curl,REX-000055,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000007,barbell seated calf raise,REX-000080,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
NEX-000008,barbell standing overhead triceps extension,REX-000047,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_NO_DIRECT_MATCH_PROXY_COMPENDIUM_02054,DOMAIN_APPROVED,true
NEX-000009,barbell straight leg deadlift,REX-000007,6,VIGOROUS,ADULT_COMPENDIUM_2024;activity_code=02050;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight lifting - free weight, nautilus or universal-type), vigorous effort",USER_APPROVED_COMPENDIUM_02050_VIGOROUS_RESISTANCE,DOMAIN_APPROVED,true
NEX-000010,barbell wrist curl,REX-000102,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",USER_APPROVED_COMPENDIUM_02054_LIGHT_RESISTANCE,DOMAIN_APPROVED,true
