stable_code,source_identity,change_type,met_value,met_source_activity_code
ankle_circles_mobility_stretch_bodyweight,1368,UNCHANGED,,
band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band,1369,UNCHANGED,,
barbell_deadlift_hip_dominant_barbell,0032,UNCHANGED,,
barbell_front_raise_isolation_barbell,0041,UNCHANGED,,
barbell_straight_leg_deadlift_hip_dominant_barbell,0116,UNCHANGED,,
bodyweight_back_extension_hip_dominant_bodyweight,0489,UNCHANGED,,
bodyweight_crunch_core_brace_bodyweight,0274,UNCHANGED,,
bodyweight_forward_lunge_knee_dominant_bodyweight,3470,UNCHANGED,,
bodyweight_glute_bridge_hip_dominant_bodyweight,3013,UNCHANGED,,
bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar,0140,UNCHANGED,,
bodyweight_reverse_crunch_core_brace_bodyweight,0872,UNCHANGED,,
bodyweight_split_squat_knee_dominant_bodyweight,2368,UNCHANGED,,
bodyweight_standing_calf_raise_isolation_bodyweight,1373,UNCHANGED,,
butterfly_adductor_stretch_mobility_stretch_bodyweight,1494,UNCHANGED,,
cable_triceps_pushdown_isolation_cable_machine,0201,UNCHANGED,,
cardio_gait_bodyweight,3672,UNCHANGED,,
cardio_gait_bodyweight_rex_000058,3636,UNCHANGED,,
cardio_gait_machine,3666,UNCHANGED,,
cardio_gait_machine_rex_000071,2311,UNCHANGED,,
cardio_jump_plyometric_bodyweight,3224,UNCHANGED,7.5,02020
chair_leg_extended_stretch_mobility_stretch_bodyweight,1548,UNCHANGED,,
chest_front_shoulder_stretch_mobility_stretch_bodyweight,1271,UNCHANGED,,
close_grip_push_up_horizontal_push_bodyweight,0259,UNCHANGED,,
dumbbell_goblet_squat_knee_dominant_dumbbell,1760,UNCHANGED,,
dumbbell_lateral_raise_isolation_dumbbell,0334,UNCHANGED,,
dumbbell_lateral_to_front_raise_isolation_dumbbell,0335,UNCHANGED,,
dumbbell_preacher_curl_isolation_dumbbell,0372,UNCHANGED,,
dumbbell_rear_fly_isolation_dumbbell,0378,UNCHANGED,,
dumbbell_shrug_isolation_dumbbell,0406,UNCHANGED,,
dumbbell_standing_curl_isolation_dumbbell,0416,UNCHANGED,,
dumbbell_step_up_lunge_knee_dominant_dumbbell_step_box,2796,UNCHANGED,,
dynamic_chest_stretch_mobility_stretch_bodyweight,1167,UNCHANGED,,
