stable_code,source_identity,change_type,met_value,met_source_activity_code
exercise_ball_hip_flexor_stretch_mobility_stretch_stability_ball,1559,UNCHANGED,,
hamstring_stretch_mobility_stretch_bodyweight,1511,UNCHANGED,,
hand_grip_squeeze_isolation_household_weight,0854,UNCHANGED,,
inverted_row_horizontal_pull_bodyweight,0499,UNCHANGED,,
kneeling_lat_stretch_mobility_stretch_bodyweight,1346,UNCHANGED,,
lat_pulldown_vertical_pull_cable_machine,0198,UNCHANGED,,
lower_back_curl_core_brace_bodyweight,1352,UNCHANGED,,
neck_lateral_stretch_mobility_stretch_bodyweight,1403,UNCHANGED,,
one_arm_wall_lats_isolation_bodyweight,1355,UNCHANGED,,
one_leg_donkey_calf_raise_isolation_bodyweight,1386,UNCHANGED,,
overhead_triceps_extension_isolation_barbell,0109,UNCHANGED,,
overhead_triceps_stretch_mobility_stretch_bodyweight,0643,UNCHANGED,,
push_up_horizontal_push_bodyweight,0662,UNCHANGED,,
quadruped_quadriceps_stretch_mobility_stretch_bodyweight,1512,UNCHANGED,,
rear_deltoid_stretch_mobility_stretch_bodyweight,0669,UNCHANGED,,
reverse_calf_raise_isolation_resistance_band,1000,UNCHANGED,,
reverse_wrist_curl_isolation_barbell,0082,UNCHANGED,,
roller_back_stretch,2208,UNCHANGED,,
roller_hip_stretch,2202,UNCHANGED,,
runners_stretch_mobility_stretch_bodyweight,1585,UNCHANGED,,
scapular_pull_up_vertical_pull_bodyweight_pull_up_bar,0688,UNCHANGED,,
seated_cable_row_horizontal_pull_cable_machine,0861,UNCHANGED,,
seated_calf_raise_isolation_barbell,0088,UNCHANGED,,
seated_calf_stretch_mobility_stretch_bodyweight,1390,UNCHANGED,,
seated_glute_stretch_mobility_stretch_bodyweight,1424,UNCHANGED,,
seated_leg_curl_knee_flexion_machine,0599,UNCHANGED,,
seated_lower_back_stretch_mobility_stretch_bodyweight,0690,UNCHANGED,,
seated_piriformis_stretch_mobility_stretch_bodyweight,2567,UNCHANGED,,
seated_shoulder_press_vertical_push_dumbbell,0405,UNCHANGED,,
seated_wide_angle_stretch_mobility_stretch_bodyweight,1587,UNCHANGED,,
side_lying_quadriceps_stretch_mobility_stretch_bodyweight,0613,UNCHANGED,,
side_wrist_pull_stretch_mobility_stretch_bodyweight,0721,UNCHANGED,,
smith_reverse_calf_raises_isolation_machine,0763,UNCHANGED,,
spine_stretch_mobility_stretch_bodyweight,1363,UNCHANGED,,
standing_lateral_stretch_mobility_stretch_bodyweight,0794,UNCHANGED,,
triceps_stretch_mobility_stretch_bodyweight,0817,UNCHANGED,,
upper_back_stretch_mobility_stretch_bodyweight,1365,UNCHANGED,,
wall_calf_stretch_mobility_stretch_bodyweight,1377,UNCHANGED,,
world_greatest_stretch_mobility_stretch_bodyweight,1604,UNCHANGED,,
wrist_circles_mobility_stretch_bodyweight,1428,UNCHANGED,,
wrist_curl_isolation_barbell,0126,UNCHANGED,,
45_degree_side_bend,0002,UNCHANGED,,
alternate_heel_touchers,0006,UNCHANGED,,
alternate_lateral_pulldown,0007,UNCHANGED,,
assisted_pull_up,0017,UNCHANGED,,
assisted_triceps_dip_kneeling,0019,UNCHANGED,,
balance_board,0020,UNCHANGED,,
barbell_pullover_to_press,0022,UNCHANGED,,
barbell_bench_squat,0026,UNCHANGED,,
barbell_bent_over_row,0027,UNCHANGED,,
barbell_curl,0031,UNCHANGED,,
barbell_decline_bent_arm_pullover,0034,UNCHANGED,,
barbell_decline_close_grip_to_skull_press,0035,UNCHANGED,,
barbell_full_squat,0043,UNCHANGED,,
barbell_good_morning,0044,UNCHANGED,,
barbell_incline_bench_press,0047,UNCHANGED,,
barbell_incline_row,0049,UNCHANGED,,
barbell_jump_squat,0053,UNCHANGED,,
barbell_lunge,0054,UNCHANGED,,
barbell_lying_close_grip_triceps_extension,0056,UNCHANGED,,
barbell_lying_lifting_on_hip,0058,UNCHANGED,,
barbell_lying_preacher_curl,0059,UNCHANGED,,
barbell_narrow_stance_squat,0063,UNCHANGED,,
barbell_overhead_squat,0069,UNCHANGED,,
barbell_preacher_curl,0070,UNCHANGED,,
barbell_rack_pull,0074,UNCHANGED,,
barbell_rear_delt_row,0076,UNCHANGED,,
barbell_romanian_deadlift,0085,UNCHANGED,,
barbell_seated_good_morning,0090,UNCHANGED,,
barbell_seated_overhead_press,0091,UNCHANGED,,
barbell_seated_twist,0094,UNCHANGED,,
barbell_shrug,0095,UNCHANGED,,
barbell_side_bent,0096,UNCHANGED,,
barbell_standing_leg_calf_raise,0108,UNCHANGED,,
barbell_standing_rocking_leg_calf_raise,0111,UNCHANGED,,
barbell_sumo_deadlift,0117,UNCHANGED,,
barbell_upright_row,0121,UNCHANGED,,
bench_dip_knees_bent,0129,UNCHANGED,,
bench_hip_extension,0130,UNCHANGED,,
body_up,0137,UNCHANGED,,
bottoms_up,0138,UNCHANGED,,
cable_decline_fly,0158,UNCHANGED,,
cable_decline_seated_wide_grip_row,0159,UNCHANGED,,
cable_hip_adduction,0168,UNCHANGED,,
cable_incline_bench_press,0169,UNCHANGED,,
cable_low_seated_row,0180,UNCHANGED,,
cable_pushdown_straight_arm,0199,UNCHANGED,,
cable_seated_one_arm_alternate_row,0214,UNCHANGED,,
cable_seated_wide_grip_row,0218,UNCHANGED,,
cable_standing_hip_extension,0228,UNCHANGED,,
cable_standing_rear_delt_row_with_rope,0233,UNCHANGED,,
cable_straight_back_seated_row,0239,UNCHANGED,,
cocoons,0260,UNCHANGED,,
cross_body_crunch,0262,UNCHANGED,,
crunch_on_stability_ball,0271,UNCHANGED,,
crunch_on_stability_ball_arms_straight,0272,UNCHANGED,,
dead_bug,0276,UNCHANGED,,
dumbbell_alternate_biceps_curl,0285,UNCHANGED,,
dumbbell_arnold_press,0287,UNCHANGED,,
dumbbell_bench_squat,0291,UNCHANGED,,
dumbbell_one_arm_bent_over_row,0292,UNCHANGED,,
dumbbell_bent_over_row,0293,UNCHANGED,,
dumbbell_cuban_press,0299,UNCHANGED,,
dumbbell_deadlift,0300,UNCHANGED,,
dumbbell_decline_hammer_press,0303,UNCHANGED,,
dumbbell_incline_bench_press,0314,UNCHANGED,,
dumbbell_incline_curl,0317,UNCHANGED,,
dumbbell_incline_hammer_press,0321,UNCHANGED,,
dumbbell_incline_rear_lateral_raise,0326,UNCHANGED,,
dumbbell_incline_row,0327,UNCHANGED,,
dumbbell_plyo_squat,0371,UNCHANGED,,
dumbbell_rear_lateral_raise_support_head,0379,UNCHANGED,,
dumbbell_seated_bench_extension,0389,UNCHANGED,,
dumbbell_single_leg_split_squat,0410,UNCHANGED,,
elbow_to_knee,0443,UNCHANGED,,
flexion_leg_sit_up_bent_knee,0456,UNCHANGED,,
flutter_kicks,0459,UNCHANGED,,
groin_crunch,0469,UNCHANGED,,
jump_squat,0513,UNCHANGED,,
jump_squat_source_0514,0514,UNCHANGED,,
kettlebell_sumo_high_pull,0548,UNCHANGED,,
kettlebell_swing,0549,UNCHANGED,9.8,02058
kick_out_sit,0555,UNCHANGED,,
lever_lateral_raise,0584,UNCHANGED,,
lever_leg_extension,0585,UNCHANGED,,
lever_lying_leg_curl,0586,UNCHANGED,,
lever_seated_fly,0596,UNCHANGED,,
lever_seated_hip_abduction,0597,UNCHANGED,,
lever_seated_hip_adduction,0598,UNCHANGED,,
lever_seated_reverse_fly_parallel_grip,0601,UNCHANGED,,
lever_seated_reverse_fly,0602,UNCHANGED,,
lying_leg_raise_flat_bench,0620,UNCHANGED,,
monster_walk,0628,UNCHANGED,,
mountain_climber,0630,UNCHANGED,,
oblique_crunches_floor,0635,UNCHANGED,,
push_up_wall,0659,UNCHANGED,,
rear_decline_bridge,0668,UNCHANGED,,
run_equipment,0684,UNCHANGED,,
seated_leg_raise,0689,UNCHANGED,,
seated_side_crunch_wall,0691,UNCHANGED,,
side_bridge,0705,UNCHANGED,,
side_hip_on_parallel_bars,0709,UNCHANGED,,
side_hip_abduction,0710,UNCHANGED,,
single_leg_platform_slide,0730,UNCHANGED,,
sled_45_degree_leg_wide_press,0740,UNCHANGED,,
smith_bench_press,0748,UNCHANGED,,
smith_bent_knee_good_morning,0749,UNCHANGED,,
smith_close_grip_bench_press,0751,UNCHANGED,,
smith_leg_press,0760,UNCHANGED,,
smith_narrow_row,0761,UNCHANGED,,
smith_single_leg_split_squat,0768,UNCHANGED,,
smith_sprint_lunge,0769,UNCHANGED,,
stationary_bike_walk,0798,UNCHANGED,,
weighted_svend_press,0856,UNCHANGED,,
band_single_leg_split_squat,1001,UNCHANGED,,
behind_head_chest_stretch,1259,UNCHANGED,,
isometric_chest_squeeze,1297,UNCHANGED,,
side_lying_floor_stretch,1358,UNCHANGED,,
sphinx,1362,UNCHANGED,,
upward_facing_dog,1366,UNCHANGED,,
peroneals_stretch,1388,UNCHANGED,,
posterior_tibialis_stretch,1389,UNCHANGED,,
standing_calves,1397,UNCHANGED,,
calf_push_stretch_with_hands_against_wall,1407,UNCHANGED,,
iron_cross_stretch,1419,UNCHANGED,,
reverse_hyper_on_flat_bench,1423,UNCHANGED,,
chest_dip_on_dip_pull_up_cage,1430,UNCHANGED,,
assisted_standing_pull_up,1432,UNCHANGED,,
walking_lunge,1460,UNCHANGED,,
one_leg_squat,1476,UNCHANGED,,
intermediate_hip_flexor_and_quad_stretch,1564,UNCHANGED,,
posterior_step_to_overhead_reach,1687,UNCHANGED,,
push_and_pull_bodyweight,1689,UNCHANGED,,
dumbbell_push_press,1700,UNCHANGED,,
bodyweight_kneeling_triceps_extension,1771,UNCHANGED,,
farmers_walk,2133,UNCHANGED,,
stationary_bike_run,2138,UNCHANGED,,
walk_elliptical_cross_trainer,2141,UNCHANGED,,
foam_roller_hamstring_stretch,2203,UNCHANGED,,
foam_roller_thigh_stretch,2204,UNCHANGED,,
foam_roller_outer_thigh_stretch_2205,2205,UNCHANGED,,
foam_roller_calf_stretch_2206,2206,UNCHANGED,,
foam_roller_outer_thigh_stretch_2207,2207,UNCHANGED,,
foam_roller_calf_stretch_2209,2209,UNCHANGED,,
left_hook_boxing,2271,UNCHANGED,,
close_grip_push_up_on_knees,2398,UNCHANGED,,
rocking_frog_stretch,2571,UNCHANGED,,
resistance_band_seated_hip_abduction,3006,UNCHANGED,,
resistance_band_leg_extension,3007,UNCHANGED,,
incline_scapula_push_up,3011,UNCHANGED,,
curl_up,3016,UNCHANGED,,
pelvic_tilt,3147,UNCHANGED,,
lever_lying_two_one_leg_curl,3195,UNCHANGED,,
quarter_sit_up,3201,UNCHANGED,,
astride_jumps_male,3220,UNCHANGED,,
half_knee_bends_male,3221,UNCHANGED,,
two_toe_touch_male,3231,UNCHANGED,,
kneeling_plank_tap_shoulder_male,3239,UNCHANGED,,
quads,3533,UNCHANGED,,
bodyweight_incline_side_plank,3544,UNCHANGED,,
quick_feet,3552,UNCHANGED,,
knee_touch_crunch,3640,UNCHANGED,,
single_leg_bridge_with_outstretched_leg,3645,UNCHANGED,,
short_stride_run,3656,UNCHANGED,,
pike_to_cobra_push_up,3662,UNCHANGED,,
side_lying_hip_adduction_male,3667,UNCHANGED,,
ski_step,3671,UNCHANGED,,
curtsey_squat,3769,UNCHANGED,,
