representative_exercise_id,stable_code
REX-000001,45_degree_side_bend
REX-000002,alternate_heel_touchers
REX-000003,alternate_lateral_pulldown
REX-000004,ankle_circles_mobility_stretch_bodyweight
REX-000005,assisted_pull_up
REX-000006,assisted_standing_pull_up
REX-000007,assisted_triceps_dip_kneeling
REX-000008,astride_jumps_male
REX-000009,band_single_leg_split_squat
REX-000010,band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band
REX-000011,barbell_bench_squat
REX-000012,barbell_bent_over_row
REX-000013,barbell_curl
REX-000014,barbell_deadlift_hip_dominant_barbell
REX-000015,barbell_decline_bent_arm_pullover
REX-000016,barbell_decline_close_grip_to_skull_press
REX-000017,barbell_front_raise_isolation_barbell
REX-000018,barbell_full_squat
REX-000019,barbell_good_morning
REX-000020,barbell_incline_bench_press
REX-000021,barbell_incline_row
REX-000022,barbell_jump_squat
REX-000023,barbell_lunge
REX-000024,barbell_lying_close_grip_triceps_extension
REX-000025,barbell_lying_lifting_on_hip
REX-000026,barbell_lying_preacher_curl
REX-000027,barbell_narrow_stance_squat
REX-000028,barbell_overhead_squat
REX-000029,barbell_preacher_curl
REX-000030,barbell_pullover_to_press
REX-000031,barbell_rack_pull
REX-000032,barbell_rear_delt_row
REX-000033,barbell_romanian_deadlift
REX-000034,barbell_seated_good_morning
REX-000035,barbell_seated_overhead_press
REX-000036,barbell_seated_twist
REX-000037,barbell_shrug
REX-000038,barbell_side_bent
REX-000039,barbell_standing_leg_calf_raise
REX-000040,barbell_standing_rocking_leg_calf_raise
REX-000041,barbell_straight_leg_deadlift_hip_dominant_barbell
REX-000042,barbell_sumo_deadlift
REX-000043,barbell_upright_row
REX-000044,behind_head_chest_stretch
REX-000045,bench_dip_knees_bent
REX-000046,bench_hip_extension
REX-000047,body_up
REX-000048,bodyweight_back_extension_hip_dominant_bodyweight
REX-000049,bodyweight_crunch_core_brace_bodyweight
REX-000050,bodyweight_forward_lunge_knee_dominant_bodyweight
REX-000051,bodyweight_glute_bridge_hip_dominant_bodyweight
REX-000052,bodyweight_incline_side_plank
