representative_exercise_id,stable_code
REX-000053,bodyweight_kneeling_triceps_extension
REX-000054,bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar
REX-000055,bodyweight_reverse_crunch_core_brace_bodyweight
REX-000056,bodyweight_split_squat_knee_dominant_bodyweight
REX-000057,bodyweight_squat
REX-000058,bodyweight_standing_calf_raise_isolation_bodyweight
REX-000059,bottoms_up
REX-000060,butterfly_adductor_stretch_mobility_stretch_bodyweight
REX-000061,cable_decline_fly
REX-000062,cable_decline_seated_wide_grip_row
REX-000063,cable_hip_adduction
REX-000064,cable_incline_bench_press
REX-000065,cable_low_seated_row
REX-000066,cable_pushdown_straight_arm
REX-000067,cable_seated_one_arm_alternate_row
REX-000068,cable_seated_wide_grip_row
REX-000069,cable_standing_hip_extension
REX-000070,cable_standing_rear_delt_row_with_rope
REX-000071,cable_straight_back_seated_row
REX-000072,cable_triceps_pushdown_isolation_cable_machine
REX-000073,calf_push_stretch_with_hands_against_wall
REX-000074,cardio_gait_bodyweight
REX-000075,cardio_gait_bodyweight_rex_000058
REX-000076,cardio_gait_machine
REX-000077,cardio_gait_machine_rex_000071
REX-000078,chair_leg_extended_stretch_mobility_stretch_bodyweight
REX-000079,chest_dip_on_dip_pull_up_cage
REX-000080,chest_front_shoulder_stretch_mobility_stretch_bodyweight
REX-000081,close_grip_push_up_horizontal_push_bodyweight
REX-000082,close_grip_push_up_on_knees
REX-000083,cocoons
REX-000084,cross_body_crunch
REX-000085,crunch_on_stability_ball
REX-000086,crunch_on_stability_ball_arms_straight
REX-000087,curl_up
REX-000088,curtsey_squat
REX-000089,dead_bug
REX-000090,dumbbell_alternate_biceps_curl
REX-000091,dumbbell_arnold_press
REX-000092,dumbbell_bench_squat
REX-000093,dumbbell_bent_over_row
REX-000094,dumbbell_cuban_press
REX-000095,dumbbell_deadlift
REX-000096,dumbbell_decline_hammer_press
REX-000097,dumbbell_goblet_squat_knee_dominant_dumbbell
REX-000098,dumbbell_incline_bench_press
REX-000099,dumbbell_incline_curl
REX-000100,dumbbell_incline_hammer_press
REX-000101,dumbbell_incline_rear_lateral_raise
REX-000102,dumbbell_incline_row
REX-000103,dumbbell_lateral_raise_isolation_dumbbell
REX-000104,dumbbell_lateral_to_front_raise_isolation_dumbbell
REX-000105,dumbbell_one_arm_bent_over_row
REX-000106,dumbbell_plyo_squat
REX-000107,dumbbell_preacher_curl_isolation_dumbbell
REX-000108,dumbbell_push_press
REX-000109,dumbbell_rear_fly_isolation_dumbbell
REX-000110,dumbbell_rear_lateral_raise_support_head
REX-000111,dumbbell_seated_bench_extension
REX-000112,dumbbell_shrug_isolation_dumbbell
REX-000113,dumbbell_single_leg_split_squat
REX-000114,dumbbell_standing_curl_isolation_dumbbell
REX-000115,dumbbell_step_up_lunge_knee_dominant_dumbbell_step_box
REX-000116,dynamic_chest_stretch_mobility_stretch_bodyweight
REX-000117,elbow_to_knee
REX-000118,exercise_ball_hip_flexor_stretch_mobility_stretch_stability_ball
REX-000119,farmers_walk
REX-000120,flexion_leg_sit_up_bent_knee
REX-000121,flutter_kicks
REX-000122,foam_roller_calf_stretch_2206
REX-000123,foam_roller_calf_stretch_2209
REX-000124,foam_roller_hamstring_stretch
REX-000125,foam_roller_outer_thigh_stretch_2205
REX-000126,foam_roller_outer_thigh_stretch_2207
REX-000127,foam_roller_thigh_stretch
REX-000128,groin_crunch
REX-000129,half_knee_bends_male
REX-000130,hamstring_stretch_mobility_stretch_bodyweight
REX-000131,hand_grip_squeeze_isolation_household_weight
REX-000132,incline_scapula_push_up
REX-000133,intermediate_hip_flexor_and_quad_stretch
REX-000134,inverted_row_horizontal_pull_bodyweight
REX-000135,iron_cross_stretch
REX-000136,isometric_chest_squeeze
REX-000137,jump_squat
REX-000138,kettlebell_sumo_high_pull
REX-000139,kettlebell_swing
REX-000140,kick_out_sit
REX-000141,knee_touch_crunch
REX-000142,kneeling_lat_stretch_mobility_stretch_bodyweight
REX-000143,kneeling_plank_tap_shoulder_male
REX-000144,lat_pulldown_vertical_pull_cable_machine
REX-000145,left_hook_boxing
REX-000146,lever_lateral_raise
REX-000147,lever_leg_extension
REX-000148,lever_lying_leg_curl
REX-000149,lever_lying_two_one_leg_curl
REX-000150,lever_seated_fly
REX-000151,lever_seated_hip_abduction
REX-000152,lever_seated_hip_adduction
REX-000153,lever_seated_reverse_fly
REX-000154,lever_seated_reverse_fly_parallel_grip
REX-000155,lower_back_curl_core_brace_bodyweight
REX-000156,lying_leg_raise_flat_bench
REX-000157,monster_walk
REX-000158,mountain_climber
REX-000159,neck_lateral_stretch_mobility_stretch_bodyweight
REX-000160,oblique_crunches_floor
REX-000161,one_arm_wall_lats_isolation_bodyweight
REX-000162,one_leg_donkey_calf_raise_isolation_bodyweight
REX-000163,one_leg_squat
REX-000164,overhead_triceps_extension_isolation_barbell
REX-000165,overhead_triceps_stretch_mobility_stretch_bodyweight
REX-000166,pelvic_tilt
REX-000167,peroneals_stretch
REX-000168,pike_to_cobra_push_up
REX-000169,posterior_step_to_overhead_reach
REX-000170,posterior_tibialis_stretch
REX-000171,push_and_pull_bodyweight
REX-000172,push_up_horizontal_push_bodyweight
REX-000173,push_up_wall
REX-000174,quadruped_quadriceps_stretch_mobility_stretch_bodyweight
REX-000175,quads
REX-000176,quarter_sit_up
REX-000177,quick_feet
REX-000178,rear_decline_bridge
REX-000179,rear_deltoid_stretch_mobility_stretch_bodyweight
REX-000180,resistance_band_leg_extension
REX-000181,resistance_band_seated_hip_abduction
REX-000182,reverse_calf_raise_isolation_resistance_band
REX-000183,reverse_hyper_on_flat_bench
REX-000184,reverse_wrist_curl_isolation_barbell
REX-000185,rocking_frog_stretch
REX-000186,roller_back_stretch
REX-000187,roller_hip_stretch
REX-000188,run_equipment
REX-000189,runners_stretch_mobility_stretch_bodyweight
REX-000190,scapular_pull_up_vertical_pull_bodyweight_pull_up_bar
REX-000191,seated_cable_row_horizontal_pull_cable_machine
REX-000192,seated_calf_raise_isolation_barbell
REX-000193,seated_calf_stretch_mobility_stretch_bodyweight
REX-000194,seated_glute_stretch_mobility_stretch_bodyweight
REX-000195,seated_leg_curl_knee_flexion_machine
REX-000196,seated_leg_raise
REX-000197,seated_lower_back_stretch_mobility_stretch_bodyweight
REX-000198,seated_piriformis_stretch_mobility_stretch_bodyweight
REX-000199,seated_shoulder_press_vertical_push_dumbbell
REX-000200,seated_side_crunch_wall
REX-000201,seated_wide_angle_stretch_mobility_stretch_bodyweight
REX-000202,short_stride_run
REX-000203,side_bridge
REX-000204,side_hip_abduction
REX-000205,side_hip_on_parallel_bars
REX-000206,side_lying_floor_stretch
REX-000207,side_lying_hip_adduction_male
REX-000208,side_lying_quadriceps_stretch_mobility_stretch_bodyweight
REX-000209,side_wrist_pull_stretch_mobility_stretch_bodyweight
REX-000210,single_leg_bridge_with_outstretched_leg
REX-000211,single_leg_platform_slide
REX-000212,ski_step
REX-000213,sled_45_degree_leg_wide_press
REX-000214,smith_bench_press
REX-000215,smith_bent_knee_good_morning
REX-000216,smith_close_grip_bench_press
REX-000217,smith_leg_press
REX-000218,smith_narrow_row
REX-000219,smith_reverse_calf_raises_isolation_machine
REX-000220,smith_single_leg_split_squat
REX-000221,smith_sprint_lunge
REX-000222,sphinx
REX-000223,spine_stretch_mobility_stretch_bodyweight
REX-000224,standing_calves
REX-000225,standing_lateral_stretch_mobility_stretch_bodyweight
REX-000226,stationary_bike_walk
REX-000227,triceps_stretch_mobility_stretch_bodyweight
REX-000228,two_toe_touch_male
REX-000229,upper_back_stretch_mobility_stretch_bodyweight
REX-000230,upward_facing_dog
REX-000231,walk_elliptical_cross_trainer
REX-000232,walking_lunge
REX-000233,wall_calf_stretch_mobility_stretch_bodyweight
REX-000234,weighted_svend_press
REX-000235,world_greatest_stretch_mobility_stretch_bodyweight
REX-000236,wrist_circles_mobility_stretch_bodyweight
REX-000237,wrist_curl_isolation_barbell
