experiment_id,split_type,ablation_id,model_id,bin_index,probability_true,probability_predicted
time_A0_majority,time,A0,majority,0,0.536215421622344,1.0
time_A1_logreg,time,A1,logreg,0,0.25435540069686413,0.2069263320662834
time_A1_logreg,time,A1,logreg,1,0.33797634691195794,0.33803182531750314
time_A1_logreg,time,A1,logreg,2,0.47569113441372735,0.49516909942386034
time_A1_logreg,time,A1,logreg,3,0.5811546840958606,0.6316612505055721
time_A1_logreg,time,A1,logreg,4,0.8099812558575445,0.79187284650206
time_A1_rf,time,A1,rf,0,0.25435540069686413,0.2534088263943636
time_A1_rf,time,A1,rf,1,0.33797634691195794,0.343014820701346
time_A1_rf,time,A1,rf,2,0.47569113441372735,0.48289560452742847
time_A1_rf,time,A1,rf,3,0.5811546840958606,0.577980231290809
time_A1_rf,time,A1,rf,4,0.8099812558575445,0.8129417175931581
time_A1_histgb,time,A1,histgb,0,0.25435540069686413,0.25338999792050815
time_A1_histgb,time,A1,histgb,1,0.33797634691195794,0.34443790132520075
time_A1_histgb,time,A1,histgb,2,0.47569113441372735,0.4823229236260156
time_A1_histgb,time,A1,histgb,3,0.5811546840958606,0.5761927251008081
time_A1_histgb,time,A1,histgb,4,0.8099812558575445,0.8130647715219518
time_A2_logreg,time,A2,logreg,0,0.19082125603864733,0.17756094376822024
time_A2_logreg,time,A2,logreg,1,0.3025387870239774,0.25982574087650384
time_A2_logreg,time,A2,logreg,2,0.33765707336846373,0.345991965158294
time_A2_logreg,time,A2,logreg,3,0.4483665039429215,0.4582477311442501
time_A2_logreg,time,A2,logreg,4,0.5042662116040956,0.5405125091354595
time_A2_logreg,time,A2,logreg,5,0.5947030497592295,0.6464251899795778
time_A2_logreg,time,A2,logreg,6,0.7639055622248899,0.7647759324076081
time_A2_logreg,time,A2,logreg,7,0.8645943097997892,0.8270792293473215
time_A2_logreg,time,A2,logreg,8,1.0,0.913275816861321
time_A2_rf,time,A2,rf,0,0.23214285714285715,0.07838988630101085
time_A2_rf,time,A2,rf,1,0.2898832684824903,0.1632974228535413
time_A2_rf,time,A2,rf,2,0.31017881705639616,0.2550970923252906
time_A2_rf,time,A2,rf,3,0.36946011281224816,0.3519483699758239
time_A2_rf,time,A2,rf,4,0.44881889763779526,0.4495491192923711
time_A2_rf,time,A2,rf,5,0.5264279624893435,0.5472414582230958
time_A2_rf,time,A2,rf,6,0.5937707090788602,0.6498087913173173
time_A2_rf,time,A2,rf,7,0.7296296296296296,0.7535134426311211
time_A2_rf,time,A2,rf,8,0.8107489994282447,0.8479774461056997
time_A2_rf,time,A2,rf,9,0.9106078665077473,0.9475639005667831
time_A2_histgb,time,A2,histgb,0,0.1951219512195122,0.17138126855943261
time_A2_histgb,time,A2,histgb,1,0.26435877261998425,0.26773525074558124
time_A2_histgb,time,A2,histgb,2,0.34386311286607435,0.34701243332241194
time_A2_histgb,time,A2,histgb,3,0.4465161923454367,0.45508984708107486
time_A2_histgb,time,A2,histgb,4,0.5342806394316163,0.5414303568286116
time_A2_histgb,time,A2,histgb,5,0.6596306068601583,0.6621178773902652
time_A2_histgb,time,A2,histgb,6,0.7592592592592593,0.759135312846794
time_A2_histgb,time,A2,histgb,7,0.8328752061572292,0.8361669790620264
time_A2_histgb,time,A2,histgb,8,0.9383333333333334,0.9450074113408724
