experiment_id,split_type,ablation_id,model_id,segment_name,segment_value,n_samples,precision,recall,f1,roc_auc,pr_auc,brier,tn,fp,fn,tp,calibration_curve,unavailable_metrics
time_A0_majority,time,A0,majority,history_bucket,29+,14966,0.536215421622344,1.0,0.698099256230699,0.5,0.536215421622344,0.463784578377656,0,6941,0,8025,"{""n_bins"":10,""probability_predicted"":[1.0],""probability_true"":[0.536215421622344]}",{}
time_A0_majority,time,A0,majority,experience_level_code,BEGINNER,2854,0.31114225648213034,1.0,0.4746125066809193,0.5,0.31114225648213034,0.6888577435178697,0,1966,0,888,"{""n_bins"":10,""probability_predicted"":[1.0],""probability_true"":[0.31114225648213034]}",{}
time_A0_majority,time,A0,majority,experience_level_code,ADVANCED,6104,0.7411533420707732,1.0,0.8513360933383515,0.5,0.7411533420707732,0.25884665792922673,0,1580,0,4524,"{""n_bins"":10,""probability_predicted"":[1.0],""probability_true"":[0.7411533420707732]}",{}
time_A0_majority,time,A0,majority,experience_level_code,INTERMEDIATE,6008,0.4349201065246338,1.0,0.6061941770096276,0.5,0.4349201065246338,0.5650798934753661,0,3395,0,2613,"{""n_bins"":10,""probability_predicted"":[1.0],""probability_true"":[0.4349201065246338]}",{}
time_A1_logreg,time,A1,logreg,history_bucket,29+,14966,0.7411533420707732,0.5637383177570093,0.6403850237100998,0.7134404040104827,0.7231549470726355,0.21238563343256547,5361,1580,3501,4524,"{""n_bins"":10,""probability_predicted"":[0.2069263320662834,0.33803182531750314,0.49516909942386034,0.6316612505055721,0.79187284650206],""probability_true"":[0.25435540069686413,0.33797634691195794,0.47569113441372735,0.5811546840958606,0.8099812558575445]}",{}
time_A1_logreg,time,A1,logreg,experience_level_code,BEGINNER,2854,0.0,0.0,0.0,0.5398898389742743,0.33412281379767017,0.21428798222446852,1966,0,888,0,"{""n_bins"":10,""probability_predicted"":[0.2069263320662834,0.36664149731891094],""probability_true"":[0.25435540069686413,0.3356748620170597]}",{}
time_A1_logreg,time,A1,logreg,experience_level_code,ADVANCED,6104,0.7411533420707732,1.0,0.8513360933383515,0.6242876948818677,0.7962691509527212,0.18182967426665397,0,1580,0,4524,"{""n_bins"":10,""probability_predicted"":[0.6316612505055721,0.79187284650206],""probability_true"":[0.5811546840958606,0.8099812558575445]}",{}
time_A1_logreg,time,A1,logreg,experience_level_code,INTERMEDIATE,6008,0.0,0.0,0.0,0.5593362066973392,0.4696076151455053,0.24252615794931515,3395,0,2613,0,"{""n_bins"":10,""probability_predicted"":[0.30656434391639614,0.49516909942386034],""probability_true"":[0.3405077262693157,0.47569113441372735]}",{}
time_A1_rf,time,A1,rf,history_bucket,29+,14966,0.7411533420707732,0.5637383177570093,0.6403850237100998,0.7116293404893314,0.7200209610287183,0.21165084030805204,5361,1580,3501,4524,"{""n_bins"":10,""probability_predicted"":[0.2534088263943636,0.343014820701346,0.48289560452742847,0.577980231290809,0.8129417175931581],""probability_true"":[0.25435540069686413,0.33797634691195794,0.47569113441372735,0.5811546840958606,0.8099812558575445]}",{}
time_A1_rf,time,A1,rf,experience_level_code,BEGINNER,2854,0.0,0.0,0.0,0.5328478274816016,0.3269668983528994,0.21330648986799086,1966,0,888,0,"{""n_bins"":10,""probability_predicted"":[0.2534088263943636,0.34813478965886085],""probability_true"":[0.25435540069686413,0.3356748620170597]}",{}
time_A1_rf,time,A1,rf,experience_level_code,ADVANCED,6104,0.7411533420707732,1.0,0.8513360933383515,0.61861779370782,0.791618216695254,0.18099871237537804,0,1580,0,4524,"{""n_bins"":10,""probability_predicted"":[0.577980231290809,0.8129417175931581],""probability_true"":[0.5811546840958606,0.8099812558575445]}",{}
time_A1_rf,time,A1,rf,experience_level_code,INTERMEDIATE,6008,0.0,0.0,0.0,0.5558065568836457,0.46821559062339535,0.2420062605905048,3395,0,2613,0,"{""n_bins"":10,""probability_predicted"":[0.33738341996606613,0.48289560452742847],""probability_true"":[0.3405077262693157,0.47569113441372735]}",{}
time_A1_histgb,time,A1,histgb,history_bucket,29+,14966,0.7411533420707732,0.5637383177570093,0.6403850237100998,0.7114422181439377,0.7198454263916161,0.21165525964885712,5361,1580,3501,4524,"{""n_bins"":10,""probability_predicted"":[0.25338999792050815,0.34443790132520075,0.4823229236260156,0.5761927251008081,0.8130647715219518],""probability_true"":[0.25435540069686413,0.33797634691195794,0.47569113441372735,0.5811546840958606,0.8099812558575445]}",{}
time_A1_histgb,time,A1,histgb,experience_level_code,BEGINNER,2854,0.0,0.0,0.0,0.5356682980029877,0.329975664589446,0.21324264677863938,1966,0,888,0,"{""n_bins"":10,""probability_predicted"":[0.25338999792050815,0.3510533017664774],""probability_true"":[0.25435540069686413,0.3356748620170597]}",{}
time_A1_histgb,time,A1,histgb,experience_level_code,ADVANCED,6104,0.7411533420707732,1.0,0.8513360933383515,0.61861779370782,0.791618216695254,0.18105092755343563,0,1580,0,4524,"{""n_bins"":10,""probability_predicted"":[0.5761927251008081,0.8130647715219518],""probability_true"":[0.5811546840958606,0.8099812558575445]}",{}
time_A1_histgb,time,A1,histgb,experience_level_code,INTERMEDIATE,6008,0.0,0.0,0.0,0.552861274233793,0.4644458760469077,0.24199454730565712,3395,0,2613,0,"{""n_bins"":10,""probability_predicted"":[0.3371616910164456,0.4823229236260156],""probability_true"":[0.3405077262693157,0.47569113441372735]}",{}
time_A2_logreg,time,A2,logreg,history_bucket,29+,14966,0.6859070464767616,0.6841121495327103,0.6850084222346996,0.727787991441886,0.7621133971865417,0.20963294562993098,4427,2514,2535,5490,"{""n_bins"":10,""probability_predicted"":[0.17756094376822024,0.25982574087650384,0.345991965158294,0.4582477311442501,0.5405125091354595,0.6464251899795778,0.7647759324076081,0.8270792293473215,0.913275816861321],""probability_true"":[0.19082125603864733,0.3025387870239774,0.33765707336846373,0.4483665039429215,0.5042662116040956,0.5947030497592295,0.7639055622248899,0.8645943097997892,1.0]}",{}
time_A2_logreg,time,A2,logreg,experience_level_code,BEGINNER,2854,0.42857142857142855,0.0033783783783783786,0.0067039106145251395,0.5832794900699275,0.37376736899262564,0.21159892605897918,1962,4,885,3,"{""n_bins"":10,""probability_predicted"":[0.1774794301289378,0.24222433482651162,0.351889569384972,0.43116476843433993,0.5101182801382882],""probability_true"":[0.19174757281553398,0.2973451327433628,0.31545961002785516,0.42626728110599077,0.42857142857142855]}",{}
time_A2_logreg,time,A2,logreg,experience_level_code,ADVANCED,6104,0.7425189082538639,0.9982316534040672,0.8515934376767867,0.6840550817580499,0.8533104643812439,0.1776768641267907,14,1566,8,4516,"{""n_bins"":10,""probability_predicted"":[0.483318186619065,0.5660620316215184,0.647205230613418,0.7647759324076081,0.8270792293473215,0.913275816861321],""probability_true"":[0.36363636363636365,0.5,0.5951986754966887,0.7639055622248899,0.8645943097997892,1.0]}",{}
time_A2_logreg,time,A2,logreg,experience_level_code,INTERMEDIATE,6008,0.5070496083550914,0.3716035208572522,0.428886925795053,0.5840967362124463,0.49641276115298355,0.24116573746592718,2451,944,1642,971,"{""n_bins"":10,""probability_predicted"":[0.19435275346040726,0.27148435097995705,0.337777649280981,0.46332360599502265,0.5343643894015186,0.621628108777498],""probability_true"":[0.0,0.305978898007034,0.3685741998060136,0.4535568645219755,0.5055940330314331,0.5789473684210527]}",{}
