representative_exercise_id,rule_id,action,alternative_required,source_rule_ids,activation_status,mapping_review_status,production_eligible
REX-000001,SRV2-NEW-0010,EXCLUDE,YES,LEGACY-RULE-0001|LEGACY-RULE-0223,INACTIVE_PENDING_DOMAIN_APPROVAL,PENDING_DOMAIN_APPROVAL,false
REX-000001,SRV2-NEW-0018,CAUTION,NO,LEGACY-RULE-0037|LEGACY-RULE-0044|LEGACY-RULE-0066|LEGACY-RULE-0076|LEGACY-RULE-0091|LEGACY-RULE-0111|LEGACY-RULE-0142|LEGACY-RULE-0145|LEGACY-RULE-0155|LEGACY-RULE-0157|LEGACY-RULE-0160|LEGACY-RULE-0164|LEGACY-RULE-0185|LEGACY-RULE-0250|LEGACY-RULE-0264|LEGACY-RULE-0270|LEGACY-RULE-0272,INACTIVE_PENDING_DOMAIN_APPROVAL,PENDING_DOMAIN_APPROVAL,false
REX-000001,SRV2-NEW-0019,EXCLUDE,YES,LEGACY-RULE-0038|LEGACY-RULE-0045|LEGACY-RULE-0067|LEGACY-RULE-0077|LEGACY-RULE-0092|LEGACY-RULE-0112|LEGACY-RULE-0143|LEGACY-RULE-0146|LEGACY-RULE-0156|LEGACY-RULE-0158|LEGACY-RULE-0161|LEGACY-RULE-0165|LEGACY-RULE-0186|LEGACY-RULE-0251|LEGACY-RULE-0265|LEGACY-RULE-0271|LEGACY-RULE-0273,INACTIVE_PENDING_DOMAIN_APPROVAL,PENDING_DOMAIN_APPROVAL,false
REX-000002,SRV2-NEW-0039,CAUTION,NO,LEGACY-RULE-0025|LEGACY-RULE-0031|LEGACY-RULE-0078|LEGACY-RULE-0109|LEGACY-RULE-0147|LEGACY-RULE-0189|LEGACY-RULE-0262|LEGACY-RULE-0268|LEGACY-RULE-0281,INACTIVE_PENDING_DOMAIN_APPROVAL,PENDING_DOMAIN_APPROVAL,false
REX-000002,SRV2-NEW-0041,EXCLUDE,YES,LEGACY-RULE-0026|LEGACY-RULE-0032|LEGACY-RULE-0079|LEGACY-RULE-0110|LEGACY-RULE-0148|LEGACY-RULE-0190|LEGACY-RULE-0263|LEGACY-RULE-0269|LEGACY-RULE-0282,INACTIVE_PENDING_DOMAIN_APPROVAL,PENDING_DOMAIN_APPROVAL,false
REX-000002,SRV2-NEW-0049,EXCLUDE,YES,LEGACY-RULE-0004|LEGACY-RULE-0006|LEGACY-RULE-0029|LEGACY-RULE-0075|LEGACY-RULE-0108|LEGACY-RULE-0144|LEGACY-RULE-0261,INACTIVE_PENDING_DOMAIN_APPROVAL,PENDING_DOMAIN_APPROVAL,false
REX-000002,SRV2-NEW-0052,EXCLUDE,YES,LEGACY-RULE-0005|LEGACY-RULE-0015|LEGACY-RULE-0016,INACTIVE_PENDING_DOMAIN_APPROVAL,PENDING_DOMAIN_APPROVAL,false
REX-000003,SRV2-NEW-0040,EXCLUDE,YES,LEGACY-RULE-0003|LEGACY-RULE-0149|LEGACY-RULE-0215,INACTIVE_PENDING_DOMAIN_APPROVAL,PENDING_DOMAIN_APPROVAL,false
REX-000003,SRV2-NEW-0051,CAUTION,NO,LEGACY-RULE-0069|LEGACY-RULE-0094|LEGACY-RULE-0116|LEGACY-RULE-0134|LEGACY-RULE-0150|LEGACY-RULE-0170|LEGACY-RULE-0177|LEGACY-RULE-0198|LEGACY-RULE-0216|LEGACY-RULE-0230|LEGACY-RULE-0252|LEGACY-RULE-0266|LEGACY-RULE-0275,INACTIVE_PENDING_DOMAIN_APPROVAL,PENDING_DOMAIN_APPROVAL,false
REX-000003,SRV2-NEW-0053,EXCLUDE,YES,LEGACY-RULE-0070|LEGACY-RULE-0095|LEGACY-RULE-0117|LEGACY-RULE-0135|LEGACY-RULE-0151|LEGACY-RULE-0171|LEGACY-RULE-0178|LEGACY-RULE-0199|LEGACY-RULE-0217|LEGACY-RULE-0231|LEGACY-RULE-0253|LEGACY-RULE-0267|LEGACY-RULE-0276,INACTIVE_PENDING_DOMAIN_APPROVAL,PENDING_DOMAIN_APPROVAL,false
